code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Psychotropic""	""group""	""database""",
"""275441000033113""",UNKNOWN,true,"""Clomipramine Hydrochloride  Injection  12.5mg/ml""	""Solution for injection""	""Intramuscular""	""Clomipramine""	NA	""Clomipramine""	""Antidepressants""	""Aurum""",
"""276041000033113""",UNKNOWN,true,"""Clopixol 200mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""200.000mg/1.000ml""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""276141000033112""",UNKNOWN,true,"""Clopixol Conc 500mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""500.000mg/1.000ml""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""284741000033110""",UNKNOWN,true,"""Clomipramine 25mg/5ml oral solution""	""Oral solution""	""Oral""	""Clomipramine""	""5.000mg/1.000ml""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""284941000033113""",UNKNOWN,true,"""Clozaril 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clozapine""	""25.000mg""	""Clozapine""	""Antipsychotics""	""Aurum""",
"""285041000033113""",UNKNOWN,true,"""Clozaril 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clozapine""	""100.000mg""	""Clozapine""	""Antipsychotics""	""Aurum""",
"""285741000033111""",UNKNOWN,true,"""Clomipramine 75mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Clomipramine""	""75.000mg""	""Clomipramine""	""Antidepressants""	""Aurum""",
"""286941000033115""",UNKNOWN,true,"""Clopixol 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Zuclopenthixol""	""10.000mg""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""287041000033119""",UNKNOWN,true,"""Clopixol 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Zuclopenthixol""	""2.000mg""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""287141000033115""",UNKNOWN,true,"""Clopixol 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Zuclopenthixol""	""25.000mg""	""Zuclopenthixol""	""Antipsychotics""	""Aurum""",
"""287541000033112""",UNKNOWN,true,"""Clozapine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clozapine""	""100.000mg""	""Clozapine""	""Antipsychotics""	""Aurum""",
"""287641000033113""",UNKNOWN,true,"""Clozapine 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clozapine""	""25.000mg""	""Clozapine""	""Antipsychotics""	""Aurum""",
"""325841000033119""",UNKNOWN,true,"""Convulex 150mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""150.000mg""	""Valproic""	""Mood Stabilisers""	""Aurum""",
"""325941000033110""",UNKNOWN,true,"""Convulex 300mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""300.000mg""	""Valproic""	""Mood Stabilisers""	""Aurum""",
"""326041000033117""",UNKNOWN,true,"""Convulex 500mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""500.000mg""	""Valproic""	""Mood Stabilisers""	""Aurum""",
