code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AD""",
"""1028851000006110""",UNKNOWN,true,"600	""ALLERGY13087NEMIS""	""""	""adverse reaction to cipralex""	1028851000006106	1028851000006110	NA	5	1",
"""1028901000006117""",UNKNOWN,true,"10000	""ALLERGY131""	""""	""adverse reaction to amitriptyline hydrochloride""	1028901000006101	1028901000006117	NA	5	1",
"""1029741000006112""",UNKNOWN,true,"2	""ALLERGY13428NEMIS""	""""	""adverse reaction to prozit""	1029741000006108	1029741000006112	NA	5	1",
"""1038561000006113""",UNKNOWN,true,"7	""ALLERGY1671""	""""	""adverse reaction to tranylcypromine""	1038561000006109	1038561000006113	NA	5	1",
"""1038601000006113""",UNKNOWN,true,"4000	""ALLERGY1672""	""""	""adverse reaction to trazodone hydrochloride""	1038601000006109	1038601000006113	NA	5	1",
"""1038901000006115""",UNKNOWN,true,"200	""ALLERGY16893NEMIS""	""""	""adverse reaction to zispin soltab""	1038901000006104	1038901000006115	NA	5	1",
"""1039091000006115""",UNKNOWN,true,"200	""ALLERGY1695""	""""	""adverse reaction to trimipramine""	1039091000006104	1039091000006115	NA	5	1",
"""1039171000006115""",UNKNOWN,true,"2000	""ALLERGY1698NEMIS""	""""	""adverse reaction to citalopram hydrochloride""	1039171000006104	1039171000006115	NA	5	1",
"""1039271000006110""",UNKNOWN,true,"10	""ALLERGY1702""	""""	""adverse reaction to tryptophan""	1039271000006106	1039271000006110	NA	5	1",
"""1040771000006114""",UNKNOWN,true,"2000	""ALLERGY17634NEMIS""	""""	""adverse reaction to dosulepin""	1040771000006105	1040771000006114	NA	5	1",
"""1042241000006113""",UNKNOWN,true,"1	""ALLERGY19065NEMIS""	""""	""adverse reaction to paxoran""	1042241000006109	1042241000006113	NA	5	1",
"""1043001000006112""",UNKNOWN,true,"200	""ALLERGY19399NEMIS""	""""	""adverse reaction to cymbalta""	1043001000006108	1043001000006112	NA	5	1",
"""1043891000006114""",UNKNOWN,true,"3	""ALLERGY1963""	""""	""adverse reaction to aventyl""	1043891000006105	1043891000006114	NA	5	1",
"""1046771000006112""",UNKNOWN,true,"60	""ALLERGY2062""	""""	""adverse reaction to bolvidon""	1046771000006108	1046771000006112	NA	5	1",
"""1050991000006114""",UNKNOWN,true,"10	""ALLERGY3357""	""""	""adverse reaction to optimax""	1050991000006105	1050991000006114	NA	5	1",
"""1051501000006119""",UNKNOWN,true,"1	""ALLERGY3402""	""""	""adverse reaction to pacitron""	1051501000006103	1051501000006119	NA	5	1",
"""1051751000006112""",UNKNOWN,true,"8	""ALLERGY3426""	""""	""adverse reaction to parnate""	1051751000006108	1051751000006112	NA	5	1",
"""1051771000006119""",UNKNOWN,true,"20	""ALLERGY3428""	""""	""adverse reaction to parstelin""	1051771000006103	1051771000006119	NA	5	1",
"""1053591000006113""",UNKNOWN,true,"900	""ALLERGY3586""	""""	""adverse reaction to prothiaden""	1053591000006109	1053591000006113	NA	5	1",
"""1055321000006117""",UNKNOWN,true,"80	""ALLERGY3750""	""""	""adverse reaction to sinequan""	1055321000006101	1055321000006117	NA	5	1",
"""1056031000006114""",UNKNOWN,true,"1	""ALLERGY3813NEMIS""	""""	""adverse reaction to lomont""	1056031000006105	1056031000006114	NA	5	1",
