code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antipsychotic""",
"""587741000033113""",UNKNOWN,true,"""Fluphenazine decanoate 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""100.000mg/1.000ml""	""04020200""	""Fluphenazine""",
"""593441000033111""",UNKNOWN,true,"""Fluanxol 1mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Flupentixol""	""1.000mg""	NA	""Flupentixol""",
"""593541000033112""",UNKNOWN,true,"""Fluanxol 500microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Flupentixol""	""500.000microgram""	NA	""Flupentixol""",
"""595441000033112""",UNKNOWN,true,"""Fluphenazine 1mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluphenazine""	""1.000mg""	""04020100""	""Fluphenazine""",
"""595641000033114""",UNKNOWN,true,"""Fluphenazine 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluphenazine""	""2.500mg""	""04020100""	""Fluphenazine""",
"""595741000033117""",UNKNOWN,true,"""Fluphenazine 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Fluphenazine""	""5.000mg""	""04020100""	""Fluphenazine""",
"""658341000033110""",UNKNOWN,true,"""Haloperidol 500microgram capsules""	""Capsule/ Oral capsule""	""Oral""	""Haloperidol""	""500.000microgram""	""04020100""	""Haloperidol""",
"""659241000033113""",UNKNOWN,true,"""Haloperidol  Elixir  2 mg/5 ml""	NA	NA	""Haloperidol""	NA	NA	""Haloperidol""",
"""659441000033114""",UNKNOWN,true,"""Haldol Decanoate 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Haloperidol""	""100.000mg/1.000ml""	NA	""Haloperidol""",
"""659541000033110""",UNKNOWN,true,"""Haldol Decanoate 50mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Haloperidol""	""50.000mg/1.000ml""	NA	""Haloperidol""",
"""659641000033111""",UNKNOWN,true,"""Haloperidol 20mg/2ml solution for injection ampoules""	""Solution for injection""	""Intravenous/ Intramuscular""	""Haloperidol""	""10.000mg/1.000ml""	""04020100""	""Haloperidol""",
"""659741000033119""",UNKNOWN,true,"""Haloperidol decanoate 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Haloperidol""	""100.000mg/1.000ml""	""04020200""	""Haloperidol""",
"""659841000033112""",UNKNOWN,true,"""Haloperidol decanoate 50mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Haloperidol""	""50.000mg/1.000ml""	""04020200""	""Haloperidol""",
"""659941000033116""",UNKNOWN,true,"""Haloperidol  Injection  5 mg/ml""	""Solution for injection""	""Intramuscular""	""Haloperidol""	NA	NA	""Haloperidol""",
"""660041000033118""",UNKNOWN,true,"""Haldol  Injection  5 mg/ml""	""Solution for injection""	""Intramuscular""	""Haloperidol""	NA	NA	""Haloperidol""",
"""660341000033116""",UNKNOWN,true,"""Haloperidol 5mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Haloperidol""	""1.000mg/1.000ml""	""04020100""	""Haloperidol""",
"""660441000033110""",UNKNOWN,true,"""Haloperidol  Liquid  2mg/ml""	NA	NA	""Haloperidol""	NA	NA	""Haloperidol""",
"""661341000033112""",UNKNOWN,true,"""Haloperidol 10mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Haloperidol""	""2.000mg/1.000ml""	""04020100""	""Haloperidol""",
"""661441000033118""",UNKNOWN,true,"""Haloperidol  Oral liquid conc.  10 mg/ml""	""Oral solution""	""Oral""	""Haloperidol""	NA	NA	""Haloperidol""",
"""661541000033117""",UNKNOWN,true,"""Haldol 2mg/ml oral solution""	""Oral solution""	""Oral""	""Haloperidol""	""2.000mg/1.000ml""	NA	""Haloperidol""",
"""661641000033116""",UNKNOWN,true,"""Haldol  Oral liquid conc.  10 mg/ml""	""Oral solution""	""Oral""	""Haloperidol""	NA	NA	""Haloperidol""",
"""662341000033115""",UNKNOWN,true,"""Haloperidol 1.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Haloperidol""	""1.500mg""	""04020100""	""Haloperidol""",
"""662441000033114""",UNKNOWN,true,"""Haloperidol 20mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Haloperidol""	""20.000mg""	""04020100""	""Haloperidol""",
"""662541000033110""",UNKNOWN,true,"""Haloperidol 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Haloperidol""	""5.000mg""	""04020100""	""Haloperidol""",
"""663241000033118""",UNKNOWN,true,"""Haloperidol 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Haloperidol""	""10.000mg""	""04020100""	""Haloperidol""",
"""663341000033111""",UNKNOWN,true,"""Haloperidol 500microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Haloperidol""	""500.000microgram""	""04020100""	""Haloperidol""",
"""663441000033117""",UNKNOWN,true,"""Haldol 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Haloperidol""	""10.000mg""	NA	""Haloperidol""",
"""663541000033116""",UNKNOWN,true,"""Haldol 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Haloperidol""	""5.000mg""	NA	""Haloperidol""",
"""757541000033111""",UNKNOWN,true,"""Integrin 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Oxypertine""	""10.000mg""	NA	""Oxypertine""",
"""769641000033110""",UNKNOWN,true,"""Integrin  Tablets  40 mg""	""Tablet""	""Oral""	""Oxypertine""	NA	NA	""Oxypertine""",
"""811041000033116""",UNKNOWN,true,"""Largactil 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	""25.000mg/1.000ml""	NA	""Chlorpromazine""",
"""813341000033115""",UNKNOWN,true,"""Largactil  Suppositories  100 mg""	""Suppository""	""Rectal""	""Chlorpromazine""	NA	NA	""Chlorpromazine""",
"""813441000033114""",UNKNOWN,true,"""Largactil Forte 100mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Chlorpromazine""	""20.000mg/1.000ml""	NA	""Chlorpromazine""",
"""813741000033119""",UNKNOWN,true,"""Largactil 25mg/5ml syrup""	""Oral solution""	""Oral""	""Chlorpromazine""	""5.000mg/1.000ml""	NA	""Chlorpromazine""",
"""815741000033115""",UNKNOWN,true,"""Largactil 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""10.000mg""	NA	""Chlorpromazine""",
"""815841000033113""",UNKNOWN,true,"""Largactil 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""100.000mg""	NA	""Chlorpromazine""",
"""815941000033117""",UNKNOWN,true,"""Largactil 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""25.000mg""	NA	""Chlorpromazine""",
"""816041000033110""",UNKNOWN,true,"""Largactil 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""50.000mg""	NA	""Chlorpromazine""",
"""840741000033115""",UNKNOWN,true,"""Loxapine 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Loxapine""	""10.000mg""	""04020100""	""Loxapine""",
"""840841000033113""",UNKNOWN,true,"""Loxapine 25mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Loxapine""	""25.000mg""	""04020100""	""Loxapine""",
"""840941000033117""",UNKNOWN,true,"""Loxapine 50mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Loxapine""	""50.000mg""	""04020100""	""Loxapine""",
"""842041000033117""",UNKNOWN,true,"""Loxapac 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Loxapine""	""10.000mg""	NA	""Loxapine""",
"""842141000033118""",UNKNOWN,true,"""Loxapac 25mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Loxapine""	""25.000mg""	NA	""Loxapine""",
"""842241000033113""",UNKNOWN,true,"""Loxapac 50mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Loxapine""	""50.000mg""	NA	""Loxapine""",
"""892141000033114""",UNKNOWN,true,"""Melleril 100mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Thioridazine""	""20.000mg/1.000ml""	NA	""Thioridazine""",
"""892241000033119""",UNKNOWN,true,"""Melleril 25mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Thioridazine""	""5.000mg/1.000ml""	NA	""Thioridazine""",
"""893741000033115""",UNKNOWN,true,"""Melleril 25mg/5ml syrup""	""Oral solution""	""Oral""	""Thioridazine""	""5.000mg/1.000ml""	NA	""Thioridazine""",
"""894141000033116""",UNKNOWN,true,"""Melleril  Syrup  3mg/10 ml""	""Oral solution""	""Oral""	""Thioridazine""	NA	NA	""Thioridazine""",
"""895841000033114""",UNKNOWN,true,"""Melleril 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Thioridazine""	""10.000mg""	NA	""Thioridazine""",
"""895941000033118""",UNKNOWN,true,"""Melleril 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Thioridazine""	""100.000mg""	NA	""Thioridazine""",
"""896041000033111""",UNKNOWN,true,"""Melleril 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Thioridazine""	""25.000mg""	NA	""Thioridazine""",
"""896141000033110""",UNKNOWN,true,"""Melleril 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Thioridazine""	""50.000mg""	NA	""Thioridazine""",
"""924241000033110""",UNKNOWN,true,"""Modecate 25mg/1ml solution for injection pre-filled syringes""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	NA	""Fluphenazine""",
"""924341000033117""",UNKNOWN,true,"""Modecate 50mg/2ml solution for injection pre-filled syringes""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	NA	""Fluphenazine""",
"""925341000033116""",UNKNOWN,true,"""Modecate 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	NA	""Fluphenazine""",
"""925841000033113""",UNKNOWN,true,"""Modecate 12.5mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	NA	""Fluphenazine""",
"""925941000033117""",UNKNOWN,true,"""Modecate Concentrate 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""100.000mg/1.000ml""	NA	""Fluphenazine""",
"""926041000033110""",UNKNOWN,true,"""Moditen Enanthate  Injection  25 mg/ml""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	NA	NA	""Fluphenazine""",
"""927741000033110""",UNKNOWN,true,"""Modecate 250mg/10ml solution for injection vials""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	NA	""Fluphenazine""",
"""927841000033117""",UNKNOWN,true,"""Modecate Concentrate 50mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""100.000mg/1.000ml""	NA	""Fluphenazine""",
