code,code_system,include,term,notes
"""ProdCodeId""",UNKNOWN,true,"""dmdid""	""Term.from.EMIS""	""ProductName""	""Formulation""	""RouteOfAdministration""	""DrugSubstanceName""	""SubstanceStrength""	""BNFChapter""	""DrugIssues""	""Gen""	""AP""",
"""595641000033114""",UNKNOWN,true,"321413001	""Fluphenazine 2.5mg tablets""	""Fluphenazine 2.5mg tablets""	""Tablet""	""Oral""	""Fluphenazine hydrochloride""	""2.500mg""	""""	3000	1	""Fluphenazine""",
"""595741000033117""",UNKNOWN,true,"321414007	""Fluphenazine 5mg tablets""	""Fluphenazine 5mg tablets""	""Tablet""	""Oral""	""Fluphenazine hydrochloride""	""5.000mg""	""""	3000	1	""Fluphenazine""",
"""658341000033110""",UNKNOWN,true,"321448008	""Haloperidol 500microgram capsules""	""Haloperidol 500microgram capsules""	""Capsule""	""Oral""	""Haloperidol""	""500.000microgram""	""4090300""	700000	1	""Haloperidol""",
"""659241000033113""",UNKNOWN,true,"NA	""Haloperidol Elixir 2 mg/5 ml""	""""	""""	""""	""""	""""	""""	1000	1	""Haloperidol""",
"""659441000033114""",UNKNOWN,true,"3748011000001101	""Haldol decanoate 100mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)""	""Haldol Decanoate 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Haloperidol decanoate""	""100.000mg/1.000ml""	""4020200""	20000	1	""Haloperidol""",
"""659541000033110""",UNKNOWN,true,"3747311000001104	""Haldol decanoate 50mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)""	""Haldol Decanoate 50mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Haloperidol decanoate""	""50.000mg/1.000ml""	""4020100""	10000	1	""Haloperidol""",
"""659641000033111""",UNKNOWN,true,"36053411000001104	""Haloperidol 20mg/2ml solution for injection ampoules""	""Haloperidol 20mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular/ Intravenous""	""Haloperidol""	""10.000mg/1.000ml""	""""	1000	1	""Haloperidol""",
"""659741000033119""",UNKNOWN,true,"36053611000001104	""Haloperidol decanoate 100mg/1ml solution for injection ampoules""	""Haloperidol decanoate 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Haloperidol decanoate""	""100.000mg/1.000ml""	""4020200""	20000	1	""Haloperidol""",
"""659841000033112""",UNKNOWN,true,"36053711000001104	""Haloperidol decanoate 50mg/1ml solution for injection ampoules""	""Haloperidol decanoate 50mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Haloperidol decanoate""	""50.000mg/1.000ml""	""4020200""	10000	1	""Haloperidol""",
"""659941000033116""",UNKNOWN,true,"NA	""Haloperidol Injection 5 mg/ml""	""""	""""	""""	""""	""""	""""	30000	1	""Haloperidol""",
