code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Insulin""",
"""1616041000033115""",UNKNOWN,true,"""Humulin S 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""1616141000033116""",UNKNOWN,true,"""Humulin M1  Cartridges (3 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1616241000033111""",UNKNOWN,true,"""Humulin M2 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""80.000unit/1.000ml + 80.000unit/1.000ml + 20.000unit/1.000ml + 20.000unit/1.000ml""	NA	""Insulin""",
"""1616341000033118""",UNKNOWN,true,"""Humulin M3 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	NA	""Insulin""",
"""1616441000033112""",UNKNOWN,true,"""Humulin M4  Cartridges (3 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1620641000033115""",UNKNOWN,true,"""Isophane Insulin (Human Pyr)  Injection  100 units/ml, 10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1621141000033118""",UNKNOWN,true,"""Isophane Insulin (Human Pyr)  Penfill Cartridges (1.5 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1621241000033113""",UNKNOWN,true,"""Isophane Insulin (Human Pyr)  Penfill cartridges (3 ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1621341000033115""",UNKNOWN,true,"""Isophane Insulin (Human Pyr)  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1703341000033115""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1703441000033114""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1703541000033110""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.36mm/28gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1703641000033111""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.4mm/27gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1703741000033119""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  1 ml, 0.45 mm/26g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1703841000033112""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1714041000033116""",UNKNOWN,true,"""Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""1717041000033114""",UNKNOWN,true,"""BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1717141000033113""",UNKNOWN,true,"""BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1717341000033111""",UNKNOWN,true,"""BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1717441000033117""",UNKNOWN,true,"""BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12.7mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1736841000033114""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""1736941000033118""",UNKNOWN,true,"""Humalog Mix25 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""25.000unit/1.000ml + 25.000unit/1.000ml + 75.000unit/1.000ml + 75.000unit/1.000ml""	NA	""Insulin""",
