code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""TermEMIS""	""EMIS""	""QOFEMIS""	""TermRead""	""READ""	""QOFRead""	""TermSNOMED""	""SNOMED""	""QOFSNOMED""	""Group""	""QOFAny""",
"""294770017""",UNKNOWN,true,"NA	NA	NA	""Latent schizophrenia in remission""	""E1055""	""YES""	""Latent schizophrenia in remission""	""191565008""	""YES""	""other psychosis""	""YES""",
"""294771018""",UNKNOWN,true,"NA	NA	NA	""Latent schizophrenia NOS""	""E105z""	""YES""	""Latent schizophrenia NOS""	""191559008""	""YES""	""other psychosis""	""YES""",
"""294773015""",UNKNOWN,true,"NA	NA	NA	""Cyclic schizophrenia""	""E107-1""	""YES""	""Cyclic schizophrenia""	""191567000""	""YES""	""other psychosis""	""YES""",
"""294787015""",UNKNOWN,true,"NA	NA	NA	""Coenesthopathic schizophrenia""	""E10y1""	""YES""	""Coenesthopathic schizophrenia""	""191577003""	""YES""	""schizophrenia""	""YES""",
"""294788013""",UNKNOWN,true,"NA	NA	NA	""Cenesthopathic schizophrenia""	""E10y-1""	""YES""	""Cenesthopathic schizophrenia""	""191577003""	""YES""	""schizophrenia""	""YES""",
"""294789017""",UNKNOWN,true,"NA	NA	NA	""Other schizophrenia NOS""	""E10yz""	""YES""	""Other schizophrenia NOS""	""58214004""	""YES""	""schizophrenia""	""YES""",
"""294790014""",UNKNOWN,true,"NA	NA	NA	""Schizophrenia NOS""	""E10z""	""YES""	""Schizophrenia NOS""	""58214004""	""YES""	""schizophrenia""	""YES""",
"""294802018""",UNKNOWN,true,"NA	NA	NA	""\""Single manic episode, unspecified\""""	""E1100""	""YES""	""\""Single manic episode, unspecified\""""	""268619003""	""YES""	""bipolar""	""YES""",
"""294803011""",UNKNOWN,true,"NA	NA	NA	""\""Single manic episode, mild\""""	""E1101""	""YES""	""\""Single manic episode, mild\""""	""191583000""	""YES""	""bipolar""	""YES""",
"""294804017""",UNKNOWN,true,"NA	NA	NA	""\""Single manic episode, moderate\""""	""E1102""	""YES""	""\""Single manic episode, moderate\""""	""191584006""	""YES""	""bipolar""	""YES""",
"""294805016""",UNKNOWN,true,"NA	NA	NA	""\""Single manic episode, severe without mention of psychosis\""""	""E1103""	""YES""	""\""Single manic episode, severe without mention of psychosis\""""	""764641000000104""	""YES""	""bipolar""	""YES""",
"""294806015""",UNKNOWN,true,"NA	NA	NA	""\""Single manic episode, severe, with psychosis\""""	""E1104""	""YES""	""\""Single manic episode, severe, with psychosis\""""	""191586008""	""YES""	""bipolar""	""YES""",
"""294807012""",UNKNOWN,true,"NA	NA	NA	""Single manic episode in partial or unspecified remission""	""E1105""	""YES""	""Single manic episode in partial or unspecified remission""	""764731000000103""	""YES""	""bipolar""	""YES""",
"""294808019""",UNKNOWN,true,"NA	NA	NA	""Single manic episode in full remission""	""E1106""	""YES""	""Single manic episode in full remission""	""191588009""	""YES""	""bipolar""	""YES""",
"""294809010""",UNKNOWN,true,"NA	NA	NA	""\""Manic disorder, single episode NOS\""""	""E110z""	""YES""	""\""Manic disorder, single episode NOS\""""	""268619003""	""YES""	""bipolar""	""YES""",
"""294810017""",UNKNOWN,true,"NA	NA	NA	""Recurrent manic episodes""	""E111""	""YES""	""Recurrent manic episodes""	""191590005""	""YES""	""bipolar""	""YES""",
"""294811018""",UNKNOWN,true,"NA	NA	NA	""\""Recurrent manic episodes, unspecified\""""	""E1110""	""YES""	""\""Recurrent manic episodes, unspecified\""""	""191590005""	""YES""	""bipolar""	""YES""",
"""294812013""",UNKNOWN,true,"NA	NA	NA	""\""Recurrent manic episodes, mild\""""	""E1111""	""YES""	""\""Recurrent manic episodes, mild\""""	""191592002""	""YES""	""bipolar""	""YES""",
