code,code_system,include,term,notes
"""Read.code""",UNKNOWN,true,"""Term""	""Group""	""Aurum.Medcode""	""Gold.Medcode""	""On.QOF""	""On.OHID""",
"""E11zz""",UNKNOWN,true,"""Other affective psychosis NOS""	""bipolar""	""294902017""	""33425""	""YES""	""YES""",
"""E12""",UNKNOWN,true,"""Paranoid states""	""other psychosis""	""243361000006117""	""4261""	""YES""	""YES""",
"""E120""",UNKNOWN,true,"""Simple paranoid state""	""other psychosis""	""294904016""	""14743""	""YES""	""YES""",
"""E121""",UNKNOWN,true,"""Chronic paranoid psychosis""	""other psychosis""	""401768012""	""3890""	""YES""	""YES""",
"""E121-1""",UNKNOWN,true,"""Sander's disease""	""other psychosis""	""161371000006118""	""109634""	""YES""	""YES""",
"""E122""",UNKNOWN,true,"""Paraphrenia""	""other psychosis""	""44335019""	""14971""	""YES""	""YES""",
"""E123""",UNKNOWN,true,"""Shared paranoid disorder""	""other psychosis""	""294909014""	""62680""	""YES""	""YES""",
"""E123-1""",UNKNOWN,true,"""Folie a deux""	""other psychosis""	""294908018""	""50868""	""YES""	""YES""",
"""E12-99""",UNKNOWN,true,"""Paranoia""	""other psychosis""	""882331000006116""	""0""	""YES""	""YES""",
"""E12y""",UNKNOWN,true,"""Other paranoid states""	""other psychosis""	""294910016""	""31589""	""YES""	""YES""",
"""E12y0""",UNKNOWN,true,"""Paranoia querulans""	""other psychosis""	""294911017""	""66766""	""YES""	""YES""",
"""E12yz""",UNKNOWN,true,"""Other paranoid states NOS""	""other psychosis""	""294912012""	""31455""	""YES""	""YES""",
"""E12z""",UNKNOWN,true,"""Paranoid psychosis NOS""	""other psychosis""	""294913019""	""12771""	""YES""	""YES""",
"""E13""",UNKNOWN,true,"""Other nonorganic psychoses""	""other psychosis""	""25461000006115""	""31984""	""YES""	""YES""",
"""E13-1""",UNKNOWN,true,"""Reactive psychoses""	""other psychosis""	""346896012""	""20228""	""YES""	""YES""",
"""E133""",UNKNOWN,true,"""Acute paranoid reaction""	""other psychosis""	""401770015""	""15053""	""YES""	""YES""",
"""E133-1""",UNKNOWN,true,"""Bouffee delirante""	""other psychosis""	""523481000006114""	""68058""	""YES""	""YES""",
"""E134""",UNKNOWN,true,"""Psychogenic paranoid psychosis""	""other psychosis""	""294924017""	""24345""	""YES""	""YES""",
"""E13y""",UNKNOWN,true,"""Other reactive psychoses""	""other psychosis""	""294926015""	""16333""	""YES""	""YES""",
"""E13y0""",UNKNOWN,true,"""Psychogenic stupor""	""other psychosis""	""294927012""	""22117""	""YES""	""YES""",
"""E13y1""",UNKNOWN,true,"""Brief reactive psychosis""	""other psychosis""	""10122017""	""23538""	""YES""	""YES""",
"""E13yz""",UNKNOWN,true,"""Other reactive psychoses NOS""	""other psychosis""	""294929010""	""26119""	""YES""	""YES""",
"""E13z""",UNKNOWN,true,"""Nonorganic psychosis NOS""	""other psychosis""	""223611000000117""	""14965""	""YES""	""YES""",
"""E13z-1""",UNKNOWN,true,"""Psychotic episode NOS""	""other psychosis""	""346895011""	""3636""	""YES""	""YES""",
"""E1y""",UNKNOWN,true,"""Other specified non-organic psychoses""	""other psychosis""	""294949018""	""16537""	""YES""	""YES""",
"""E1z""",UNKNOWN,true,"""Non-organic psychosis NOS""	""other psychosis""	""401771016""	""22188""	""NO""	""YES""",
"""E2122""",UNKNOWN,true,"""Schizotypal personality""	""other psychosis""	""155281000006119""	""61969""	""YES""	""YES""",
"""Eu0z-2""",UNKNOWN,true,"""[X]Symptomatic psychosis NOS""	""other psychosis""	""428451000006119""	""8766""	""NO""	""YES""",
"""Eu2""",UNKNOWN,true,"""\""[X]Schizophrenia, schizotypal and delusional disorders\""""	""other psychosis""	""296022017""	""17281""	""YES""	""YES""",
"""Eu20""",UNKNOWN,true,"""[X]Schizophrenia""	""schizophrenia""	""425601000006114""	""34236""	""YES""	""YES""",
"""Eu200""",UNKNOWN,true,"""[X]Paranoid schizophrenia""	""schizophrenia""	""418221000006118""	""16764""	""YES""	""YES""",
"""Eu200-1""",UNKNOWN,true,"""[X]Paraphrenic schizophrenia""	""schizophrenia""	""418261000006112""	""50060""	""YES""	""YES""",
"""Eu201""",UNKNOWN,true,"""[X]Hebephrenic schizophrenia""	""schizophrenia""	""388741000006110""	""43405""	""YES""	""YES""",
