code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Antipsychotic""",
"""22609""",UNKNOWN,true,"85	""Droperidol 5mg/ml injection""	""Droperidol""	""5mg/ml""	""Injection""	""Intramuscular""	""Antipsychotic Products/Benzodiazepines (Peri-Operative)""	""Droperidol""",
"""35235""",UNKNOWN,true,"1880	""Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi)""	""Pipotiazine""	""50mg/1ml""	""Solution for injection""	""Intramuscular""	""Antipsychotic Depot Injections""	""Pipotiazine""",
"""8979""",UNKNOWN,true,"11720	""Serenace 1.5mg tablets (Teva UK Ltd)""	""Haloperidol""	""1.5mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs""	""Haloperidol""",
"""65246""",UNKNOWN,true,"1	""Chlorpromazine 10mg/5ml oral suspension""	""Chlorpromazine""	""2mg/1ml""	""Oral suspension""	""Oral""	""First-Generation Antipsychotic Drugs""	""Chlorpromazine""",
"""25966""",UNKNOWN,true,"100	""Serdolect 4mg tablets (Imported (Denmark))""	""Sertindole""	""4mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Sertindole""",
"""28759""",UNKNOWN,true,"400	""Zotepine 100mg tablets""	""Zotepine""	""100mg""	""Oral tablet""	""Oral""	""Antipsychotic Products""	""Zotepine""",
"""70415""",UNKNOWN,true,"1	""Olanzapine 15mg tablets (Teva UK Ltd)""	""Olanzapine""	""15mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""5597""",UNKNOWN,true,"3884	""Moditen 1mg tablets (Sanofi)""	""Fluphenazine""	""1mg""	""Oral tablet""	""Oral""	""Antipsychotic Products""	""Fluphenazine""",
"""76438""",UNKNOWN,true,"0	""Sulpiride 400mg tablets (Medreich Plc)""	""Sulpiride""	""400mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs""	""Sulpiride""",
"""57412""",UNKNOWN,true,"5313	""Sondate XL 400mg tablets (Teva UK Ltd)""	""Quetiapine""	""400mg""	""Modified-release tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Quetiapine""",
"""19824""",UNKNOWN,true,"111	""STEMETIL (1ML)""	""Prochlorperazine""	NA	NA	NA	""Unknown""	""Prochlorperazine""",
"""24243""",UNKNOWN,true,"0	""STEMETIL""	""Prochlorperazine""	NA	NA	NA	""Unknown""	""Prochlorperazine""",
"""79024""",UNKNOWN,true,"15	""Promazine 50mg Tablet (Teva UK Ltd)""	""Promazine""	""50mg""	""Oral tablet""	""Oral""	""Antipsychotic Products""	""Promazine""",
"""46422""",UNKNOWN,true,"141	""Olanzapine embonate 300mg powder and solvent for prolonged-release suspension for injection vials""	""Olanzapine""	""300mg""	""Powder and solvent for prolonged-release suspension for inj""	""Intramuscular""	""Second-Generation Antipsychotic Drugs/Antipsychotic Depot Injections""	""Olanzapine""",
"""16229""",UNKNOWN,true,"120	""FLUPHENAZINE DECANOATE 12.5 MG INJ""	""Fluphenazine""	NA	""Solution for injection""	""Intramuscular""	""Unknown""	""Fluphenazine""",
"""18289""",UNKNOWN,true,"113	""Stelazine 10mg/ml Concentrate (Goldshield Pharmaceuticals Ltd)""	""Trifluoperazine""	""10mg/ml""	""Concentrate""	""Oral""	""Antipsychotic Products/-""	""Trifluoperazine""",
"""42807""",UNKNOWN,true,"39	""Haloperidol 500microgram Tablet (Lagap)""	""Haloperidol""	""500microgram""	""Oral tablet""	""Oral""	""Antipsychotic Products/-""	""Haloperidol""",
"""39237""",UNKNOWN,true,"9451	""Seroquel XL 400mg tablets (Luye Pharma Ltd)""	""Quetiapine""	""400mg""	""Modified-release tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Quetiapine""",
"""31098""",UNKNOWN,true,"5027	""Aripiprazole 15mg orodispersible tablets sugar free""	""Aripiprazole""	""15mg""	""Orodispersible tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Aripiprazole""",
"""32076""",UNKNOWN,true,"6808	""Aripiprazole 10mg orodispersible tablets sugar free""	""Aripiprazole""	""10mg""	""Orodispersible tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Aripiprazole""",
"""79893""",UNKNOWN,true,"0	""Quetiapine 25mg tablets (Viatris UK Healthcare Ltd)""	""Quetiapine""	""25mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Quetiapine""",
"""35929""",UNKNOWN,true,"141	""Chlorpromazine 50mg/2ml solution for injection ampoules""	""Chlorpromazine""	""25mg/1ml""	""Solution for injection""	""Intramuscular""	""First-Generation Antipsychotic Drugs""	""Chlorpromazine""",
"""2276""",UNKNOWN,true,"12077	""Flupentixol 40mg/2ml solution for injection ampoules""	""Flupentixol""	""20mg/1ml""	""Solution for injection""	""Intramuscular""	""Antipsychotic Depot Injections""	""Flupentixol""",
"""13311""",UNKNOWN,true,"201	""Sparine 50mg/ml Injection (Wyeth Pharmaceuticals)""	""Promazine""	""50mg/ml""	""Injection""	""Intramuscular""	""Antipsychotic Products""	""Promazine""",
"""70192""",UNKNOWN,true,"5920	""Quetiapine 20mg/ml oral suspension sugar free""	""Quetiapine""	""20mg/1ml""	""Oral suspension""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Quetiapine""",
"""15047""",UNKNOWN,true,"3376	""Orap 4mg tablets (Eumedica Pharma Ltd)""	""Pimozide""	""4mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs""	""Pimozide""",
"""15438""",UNKNOWN,true,"226	""Prochlorperazine maleate 15mg modified release capsul""	""Prochlorperazine""	""15mg""	""Modified Release Capsules""	""Oral""	""Antipsychotic Products/-""	""Prochlorperazine""",
"""45281""",UNKNOWN,true,"57	""Chlorpromazine 100mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)""	""Chlorpromazine""	""20mg/1ml""	""Oral solution""	""Oral""	""First-Generation Antipsychotic Drugs""	""Chlorpromazine""",
"""72898""",UNKNOWN,true,"0	""Trifluoperazine 1mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)""	""Trifluoperazine""	""200microgram/1ml""	""Oral solution""	""Oral""	""First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Trifluoperazine""",
"""89290""",UNKNOWN,true,"0	""Risperidone 250microgram tablets (Medihealth (Northern) Ltd)""	""Risperidone""	""250microgram""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Risperidone""",
"""9475""",UNKNOWN,true,"10422	""Risperdal 4mg tablets (Janssen-Cilag Ltd)""	""Risperidone""	""4mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Risperidone""",
"""43654""",UNKNOWN,true,"6	""Promazine 50mg/ml injection""	""Promazine""	""50mg/ml""	""Injection""	""Intramuscular""	""Antipsychotic Products""	""Promazine""",
"""30111""",UNKNOWN,true,"6	""Chlorprothixene 50mg tablets""	""Chlorprothixene""	""50mg""	""Tablets""	""Oral""	""Antipsychotic Products""	""Chlorprothixene""",
"""71367""",UNKNOWN,true,"126	""Olanzapine 5mg orodispersible tablets sugar free (Accord-UK Ltd)""	""Olanzapine""	""5mg""	""Orodispersible tablet""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""10356""",UNKNOWN,true,"611	""TRIFLUOPERAZINE TAB""	""Trifluoperazine""	NA	""Tablet""	""Oral""	""Unknown""	""Trifluoperazine""",
"""24069""",UNKNOWN,true,"790	""Dolmatil 400mg tablets (Sanofi)""	""Sulpiride""	""400mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs""	""Sulpiride""",
"""16223""",UNKNOWN,true,"174	""Roxiam 300mg Capsule (AstraZeneca UK Ltd)""	""Remoxipride""	""300mg""	""Capsule""	""Oral""	""Antipsychotic Products""	""Remoxipride""",
"""3951""",UNKNOWN,true,"82568	""Fluanxol 1mg tablets (Lundbeck Ltd)""	""Flupentixol""	""1mg""	""Oral tablet""	""Oral""	""Other Antidepressants""	""Flupentixol""",
"""63598""",UNKNOWN,true,"0	""Amisulpride 400mg tablets (Zentiva Pharma UK Ltd)""	""Amisulpride""	""400mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Amisulpride""",
"""1453""",UNKNOWN,true,"46963	""Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd)""	""Perphenazine""	""10mg + 2mg""	""Oral tablet""	""Oral""	""Antipsychotic Products/Tricyclic And Related Antidepressants""	""Perphenazine""",
"""2814""",UNKNOWN,true,"46112	""Largactil 25mg Tablet (Hawgreen Ltd)""	""Chlorpromazine""	""25mg""	""Oral tablet""	""Oral""	""Antipsychotic Products/-""	""Chlorpromazine""",
"""57270""",UNKNOWN,true,"209	""Olanzapine 2.5mg/5ml oral suspension""	""Olanzapine""	""500microgram/1ml""	""Oral suspension""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""14112""",UNKNOWN,true,"2347	""Clozaril 100mg tablets (Viatris UK Healthcare Ltd)""	""Clozapine""	""100mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Clozapine""",
"""32051""",UNKNOWN,true,"0	""Haloperidol 5mg Tablet (Generics (UK) Ltd)""	""Haloperidol""	""5mg""	""Oral tablet""	""Oral""	""Antipsychotic Products/-""	""Haloperidol""",
"""8774""",UNKNOWN,true,"15459	""Melleril 100mg tablets (Novartis Pharmaceuticals UK Ltd)""	""Thioridazine""	""100mg""	""Oral tablet""	""Oral""	""Antipsychotic Products""	""Thioridazine""",
