code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""anticoagulants""",
"""29207""",UNKNOWN,true,"3	""Innohep 5000iu/0.5ml Sterile solution (LEO Pharma)""	""Tinzaparin""	""5000iu/0.5ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Tinzaparin""",
"""20754""",UNKNOWN,true,"1	""WARFARIN""	""Warfarin""	NA	NA	NA	""Unknown""	""Warfarin""",
"""8467""",UNKNOWN,true,"43042	""Marevan 3mg tablets (Advanz Pharma)""	""Warfarin""	""3mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""73212""",UNKNOWN,true,"28	""Enoxaparin Becat 100mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""92269""",UNKNOWN,true,"1	""Rivaroxaban 5mg/ml oral suspension sugar free""	""Rivaroxaban""	""5mg/1ml""	""Oral suspension""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""6860""",UNKNOWN,true,"13851	""Fragmin 15,000units/0.6ml solution for injection pre-filled syringes (Pfizer Ltd)""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""10449""",UNKNOWN,true,"208	""HEPARIN CALCIUM B.P. INJ""	""Heparin""	NA	""Solution for injection""	""Intramuscular""	""Unknown""	""Heparin""",
"""10170""",UNKNOWN,true,"23536	""Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""9593""",UNKNOWN,true,"603	""Dalteparin 25000iu/ml injection solution""	""Dalteparin""	""25000 iu/ml""	""Injection Solution""	""Intramuscular""	""Parenteral Anticoagulants""	""Dalteparin""",
"""40715""",UNKNOWN,true,"24	""Heparin 100iu/ml Oral solution (LEO Pharma)""	""Heparin""	""100iu/ml""	""Oral Solution""	""Oral""	""Parenteral Anticoagulants""	""Heparin""",
"""30396""",UNKNOWN,true,"17	""Unihep leo 5000iu/ml Injection (LEO Pharma)""	""Heparin""	""5000iu/ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Heparin""",
"""76422""",UNKNOWN,true,"2	""Heparin sodium 5,000units/5ml solution for injection ampoules (LEO Pharma)""	""Heparin""	""1000unit/1ml""	""Solution for injection""	""Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
