code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Psychotropic""	""group""",
"""84537""",UNKNOWN,true,"""Sertraline 50mg tablets (Waymade Healthcare Plc)""	""Oral tablet""	""Oral""	""Sertraline""	""50mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Sertraline""	""Antidepressants""",
"""73122""",UNKNOWN,true,"""Epilim Chrono 300 tablets (Lexon (UK) Ltd)""	""Modified-release tablet""	""Oral""	""Valproate""	""300mg""	""Control Of Epilepsy""	""Valproate""	""Mood Stabilisers""",
"""56703""",UNKNOWN,true,"""Lofepramine 70mg tablets (Sandoz Ltd)""	""Oral tablet""	""Oral""	""Lofepramine""	""70mg""	""Tricyclic And Related Antidepressants""	""Lofepramine""	""Antidepressants""",
"""5212""",UNKNOWN,true,"""Fluphenazine 1mg tablets""	""Oral tablet""	""Oral""	""Fluphenazine""	""1mg""	""Antipsychotic Products""	""Fluphenazine""	""Antipsychotics""",
"""69991""",UNKNOWN,true,"""Brintellix 20mg tablets (Lundbeck Ltd)""	""Oral tablet""	""Oral""	""Vortioxetine""	""20mg""	""Other Antidepressants""	""Vortioxetine""	""Antidepressants""",
"""89960""",UNKNOWN,true,"""Chlorpromazine 100mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Chlorpromazine""	""100mg""	""First-Generation Antipsychotic Drugs""	""Chlorpromazine""	""Antipsychotics""",
"""19779""",UNKNOWN,true,"""Amitriptyline 10mg/ml injection""	""Injection""	""Intramuscular""	""Amitriptyline""	""10mg/ml""	""Tricyclic And Related Antidepressants""	""Amitriptyline""	""Antidepressants""",
"""87815""",UNKNOWN,true,"""Sodium valproate 200mg gastro-resistant tablets (DE Pharmaceuticals)""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""200mg""	""Control Of Epilepsy""	""Valproate""	""Mood Stabilisers""",
"""65237""",UNKNOWN,true,"""Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Nortriptyline""	""10mg""	""Tricyclic And Related Antidepressants/Nocturnal Enuresis""	""Nortriptyline""	""Antidepressants""",
"""79381""",UNKNOWN,true,"""Paroxetine 30mg Tablet (Sovereign Medical Ltd)""	""Oral tablet""	""Oral""	""Paroxetine""	""30mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Paroxetine""	""Antidepressants""",
"""46926""",UNKNOWN,true,"""Citalopram 40mg tablets (Zentiva Pharma UK Ltd)""	""Oral tablet""	""Oral""	""Citalopram""	""40mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Citalopram""	""Antidepressants""",
"""71432""",UNKNOWN,true,"""Tegretol Prolonged Release 200mg tablets (Waymade Healthcare Plc)""	""Modified-release tablet""	""Oral""	""Carbamazepine""	""200mg""	""Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy""	""Carbamazepine""	""Mood Stabilisers""",
"""26056""",UNKNOWN,true,"""Cipralex 10mg/ml oral drops (Lundbeck Ltd)""	""Oral drops""	""Oral""	""Escitalopram""	""10mg/1ml""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Escitalopram""	""Antidepressants""",
"""42107""",UNKNOWN,true,"""Fluoxetine 20mg capsules (Niche Generics Ltd)""	""Oral capsule""	""Oral""	""Fluoxetine""	""20mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Fluoxetine""	""Antidepressants""",
"""6560""",UNKNOWN,true,"""Sodium valproate 500mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""500mg""	""Control Of Epilepsy""	""Valproate""	""Mood Stabilisers""",
"""12128""",UNKNOWN,true,"""Modecate concentrate 100mg/ml Injection (Sanofi-Synthelabo Ltd)""	""Injection""	""Intramuscular Deep Injection Gluteal Muscle""	""Fluphenazine""	""100mg/ml""	""Antipsychotic Depot Injections""	""Fluphenazine""	""Antipsychotics""",
"""83072""",UNKNOWN,true,"""Amisulpride 200mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Oral tablet""	""Oral""	""Amisulpride""	""200mg""	""Second-Generation Antipsychotic Drugs""	""Amisulpride""	""Antipsychotics""",
"""667""",UNKNOWN,true,"""Risperidone 500microgram tablets""	""Oral tablet""	""Oral""	""Risperidone""	""500microgram""	""Second-Generation Antipsychotic Drugs""	""Risperidone""	""Antipsychotics""",
"""80290""",UNKNOWN,true,"""Lamictal 50mg tablets (Mawdsley-Brooks & Company Ltd)""	""Oral tablet""	""Oral""	""Lamotrigine""	""50mg""	""Products Used In Psychoses And Related Disorders/Control Of Epilepsy""	""Lamotrigine""	""Mood Stabilisers""",
"""46447""",UNKNOWN,true,"""Paliperidone 100mg/1ml prolonged-release suspension for injection pre-filled syringes""	""Prolonged-release suspension for injection""	""Intramuscular""	""Paliperidone""	""100mg/1ml""	""Antipsychotic Depot Injections""	""Paliperidone""	""Antipsychotics""",
"""3775""",UNKNOWN,true,"""Zuclopenthixol decanoate 200mg/ml oily injection""	""Oily Injection""	""Intramuscular""	""Zuclopenthixol""	""200mg/ml""	""Antipsychotic Products/Antipsychotic Depot Injections""	""Zuclopenthixol""	""Antipsychotics""",
"""32551""",UNKNOWN,true,"""Prochlorperazine 5mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Oral tablet""	""Oral""	""Prochlorperazine""	""5mg""	""First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Prochlorperazine""	""Antipsychotics""",
"""56734""",UNKNOWN,true,"""Carbamazepine 100mg tablets (Phoenix Healthcare Distribution Ltd)""	""Oral tablet""	""Oral""	""Carbamazepine""	""100mg""	""Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy""	""Carbamazepine""	""Mood Stabilisers""",
"""10111""",UNKNOWN,true,"""Lamictal 200mg tablets (GlaxoSmithKline UK Ltd)""	""Oral tablet""	""Oral""	""Lamotrigine""	""200mg""	""Products Used In Psychoses And Related Disorders/Control Of Epilepsy""	""Lamotrigine""	""Mood Stabilisers""",
"""65773""",UNKNOWN,true,"""Aripiprazole 30mg tablets (Zentiva Pharma UK Ltd)""	""Oral tablet""	""Oral""	""Aripiprazole""	""30mg""	""Second-Generation Antipsychotic Drugs""	""Aripiprazole""	""Antipsychotics""",
"""47149""",UNKNOWN,true,"""Haloperidol 1mg/5ml oral solution""	""Oral solution""	""Oral""	""Haloperidol""	""200microgram/1ml""	""First-Generation Antipsychotic Drugs""	""Haloperidol""	""Antipsychotics""",
"""9206""",UNKNOWN,true,"""Manerix 150mg tablets (Viatris UK Healthcare Ltd)""	""Oral tablet""	""Oral""	""Moclobemide""	""150mg""	""Reversible Monoamine-Oxidase Inhibitors""	""Moclobemide""	""Antidepressants""",
"""17227""",UNKNOWN,true,"""Chloractil 25mg Tablet (DDSA Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Chlorpromazine""	""25mg""	""Antipsychotic Products/-""	""Chlorpromazine""	""Antipsychotics""",
"""57616""",UNKNOWN,true,"""Olanzapine 20mg tablets (Teva UK Ltd)""	""Oral tablet""	""Oral""	""Olanzapine""	""20mg""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""	""Antipsychotics""",
"""84091""",UNKNOWN,true,"""Fluanxol 500microgram tablets (Sigma Pharmaceuticals Plc)""	""Oral tablet""	""Oral""	""Flupentixol""	""500microgram""	""Other Antidepressants""	""Flupentixol""	""Antipsychotics""",
"""85606""",UNKNOWN,true,"""Venlafaxine 75mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Venlafaxine""	""15mg/1ml""	""Other Antidepressants""	""Venlafaxine""	""Antidepressants""",
"""13145""",UNKNOWN,true,"""Trifluoperazine 1mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Trifluoperazine""	""200microgram/1ml""	""First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Trifluoperazine""	""Antipsychotics""",
"""34470""",UNKNOWN,true,"""Trazodone 150mg tablets (Zentiva Pharma UK Ltd)""	""Oral tablet""	""Oral""	""Trazodone""	""150mg""	""Tricyclic And Related Antidepressants""	""Trazodone""	""Antidepressants""",
"""33058""",UNKNOWN,true,"""Epival CR 500mg tablets (G.L. Pharma UK Ltd)""	""Modified-release tablet""	""Oral""	""Valproate""	""500mg""	""Control Of Epilepsy""	""Valproate""	""Mood Stabilisers""",
"""66578""",UNKNOWN,true,"""Amitriptyline 10mg tablets (Mawdsley-Brooks & Company Ltd)""	""Oral tablet""	""Oral""	""Amitriptyline""	""10mg""	""Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine""	""Amitriptyline""	""Antidepressants""",
"""53649""",UNKNOWN,true,"""Haloperidol 2mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Haloperidol""	""400microgram/1ml""	""First-Generation Antipsychotic Drugs""	""Haloperidol""	""Antipsychotics""",
"""87061""",UNKNOWN,true,"""Duloxetine 60mg gastro-resistant capsules (HBS Healthcare Ltd)""	""Gastro-resistant capsule""	""Oral""	""Duloxetine""	""60mg""	""Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy""	""Duloxetine""	""Antidepressants""",
