code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Metformin""",
"""81864""",UNKNOWN,true,"95	""Metformin 500mg modified-release tablets (Morningside Healthcare Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""46989""",UNKNOWN,true,"1040	""Metabet SR 1000mg tablets (Morningside Healthcare Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""72001""",UNKNOWN,true,"0	""Metformin 1g modified-release tablets (DE Pharmaceuticals)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""11717""",UNKNOWN,true,"53573	""Rosiglitazone 2mg / Metformin 1g tablets""	""Metformin""	""2mg + 1gram""	""Oral tablet""	""Oral""	""Glitazones Plus Metformin""	""Metformin""",
"""75778""",UNKNOWN,true,"0	""Metformin 500mg tablets (Crescent Pharma Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""66855""",UNKNOWN,true,"622	""Empagliflozin 12.5mg / Metformin 850mg tablets""	""Metformin""	""850mg + 12.5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""43619""",UNKNOWN,true,"85709	""Metformin 1g / Sitagliptin 50mg tablets""	""Metformin""	""1gram + 50mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""52445""",UNKNOWN,true,"17541	""Linagliptin 2.5mg / Metformin 1g tablets""	""Metformin""	""1000mg + 2.5mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""68203""",UNKNOWN,true,"15	""Metformin 500mg modified-release tablets (Almus Pharmaceuticals Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""85064""",UNKNOWN,true,"9	""Metformin 500mg modified-release tablets (A A H Pharmaceuticals Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""73892""",UNKNOWN,true,"6	""Metformin 500mg tablets (Relonchem Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""39988""",UNKNOWN,true,"27314	""Metformin 500mg oral powder sachets sugar free""	""Metformin""	""500mg""	""Powder for oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""84743""",UNKNOWN,true,"6	""Metformin Oral solution""	""Metformin""	NA	""Oral Solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""71012""",UNKNOWN,true,"0	""Metformin 500mg tablets (Phoenix Healthcare Distribution Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""44250""",UNKNOWN,true,"8	""Metformin 500mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""11737""",UNKNOWN,true,"6614	""Metformin with rosiglitazone 1000mg + 4mg Tablet""	""Metformin""	""1000mg + 4mg""	""Tablet""	""Oral""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Metformin""",
"""7815""",UNKNOWN,true,"32	""METFORMIN 800 MG TAB""	""Metformin""	NA	""Tablet""	""Oral""	""Unknown""	""Metformin""",
"""39598""",UNKNOWN,true,"1876691	""Metformin 1g modified-release tablets""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""39560""",UNKNOWN,true,"3290	""Bolamyn SR 500mg tablets (Teva UK Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""11604""",UNKNOWN,true,"3484	""Rosiglitazone 1mg / Metformin 500mg tablets""	""Metformin""	""1mg + 500mg""	""Oral tablet""	""Oral""	""Glitazones Plus Metformin""	""Metformin""",
"""3252""",UNKNOWN,true,"1595	""METFORMIN HCl 500 MG TAB""	""Metformin""	NA	""Tablet""	""Oral""	""Unknown""	""Metformin""",
"""59385""",UNKNOWN,true,"8744	""Vipdomet 12.5mg/1000mg tablets (Takeda UK Ltd)""	""Metformin""	""1gram + 12.5mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""51135""",UNKNOWN,true,"41	""Metformin 500mg modified-release tablets (A A H Pharmaceuticals Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""34917""",UNKNOWN,true,"11156	""Metformin 500mg tablets (Teva UK Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""66854""",UNKNOWN,true,"155	""Vokanamet 50mg/1000mg tablets (A. Menarini Farmaceutica Internazionale SRL)""	""Metformin""	""1gram + 50mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""89850""",UNKNOWN,true,"0	""Metformin 1g modified-release tablets (Amarox Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""89414""",UNKNOWN,true,"0	""Metformin 500mg modified-release tablets (Somex Pharma)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""20810""",UNKNOWN,true,"1	""METFORMIN""	""Metformin""	NA	NA	NA	""Unknown""	""Metformin""",
"""16213""",UNKNOWN,true,"22	""METFORMIN 250 MG TAB""	""Metformin""	NA	""Tablet""	""Oral""	""Unknown""	""Metformin""",
"""84014""",UNKNOWN,true,"5655	""Metformin 1g tablets""	""Metformin""	""1gram""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""57147""",UNKNOWN,true,"701	""Bolamyn SR 1000mg tablets (Teva UK Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""34004""",UNKNOWN,true,"823	""Metformin 500mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
