code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Antidiabetic""	""group""",
"""54886""",UNKNOWN,true,"""Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""65638""",UNKNOWN,true,"""Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (A. Menarini Diagnostics Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""63031""",UNKNOWN,true,"""Dapagliflozin 5mg / Metformin 850mg tablets""	""Oral tablet""	""Oral""	""Dapagliflozin/Metformin""	""850mg + 5mg""	""Gliflozins Plus Metformin""	""Dapagliflozin/Metformin""	""SGLT-2is, Metformin""",
"""69583""",UNKNOWN,true,"""Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""25unit/1ml + 75unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""21424""",UNKNOWN,true,"""Glibenclamide 5mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Glibenclamide""	""1mg/1ml""	""Sulphonylureas""	""Glibenclamide""	""Sulfonylureas""",
"""45215""",UNKNOWN,true,"""Gliclazide 80mg Tablet (Neo Laboratories Ltd)""	""Oral tablet""	""Oral""	""Gliclazide""	""80mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""24554""",UNKNOWN,true,"""Unifine single use Insulin syringe with 30gauge needle 8mm 0.3ml (Owen Mumford Ltd)""	""Insulin Syringe With 30Gauge Needle 8Mm""	NA	""Insulin""	""0.3ml""	""Diabetic Hypodermic Equipment""	""Insulin""	""Insulin""",
"""91941""",UNKNOWN,true,"""Sitagliptin 100mg tablets (Genus Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Sitagliptin""	""100mg""	""Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)""	""Sitagliptin""	""DPP-4is""",
"""60073""",UNKNOWN,true,"""Canagliflozin 100mg tablets""	""Tablet""	""Oral""	""Canagliflozin""	NA	""Unknown""	""Canagliflozin""	""SGLT-2is""",
"""10915""",UNKNOWN,true,"""Humaject m1 100iu/ml M1 pen (Eli Lilly and Company Ltd)""	""M1 Pen""	""Subcutaneous Injection""	""Insulin""	""100iu/ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""24722""",UNKNOWN,true,"""INSULIN ISOPHANE 50%/NEUTRAL 50% 100 I/U INJ""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Unknown""	""Insulin""	""Insulin""",
"""82533""",UNKNOWN,true,"""Humulin S 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)""	""Solution for injection""	""Intravenous/Subcutaneous""	""Insulin""	""100unit/1ml""	""Short-Acting Insulins""	""Insulin""	""Insulin""",
"""72324""",UNKNOWN,true,"""GlucoRx CarePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""90626""",UNKNOWN,true,"""Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Pharmaram Ltd)""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.34mg/1ml""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""	""GLP-1RAs""",
"""1592""",UNKNOWN,true,"""Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)""	""Penfill""	""Subcutaneous Injection""	""Insulin""	""100iu/ml""	""Short-Acting Insulins/Diabetic Ketoacidosis""	""Insulin""	""Insulin""",
"""80319""",UNKNOWN,true,"""Empagliflozin 10mg / Linagliptin 5mg tablets""	""Oral tablet""	""Oral""	""Linagliptin/Empagliflozin""	""10mg + 5mg""	""Gliflozins Plus Gliptins""	""Linagliptin/Empagliflozin""	""DPP-4is, SGLT-2is""",
"""48149""",UNKNOWN,true,"""Metformin 500mg tablets (Almus Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Metformin""	""500mg""	""Biguanides (Metformin)""	""Metformin""	""Metformin""",
"""11284""",UNKNOWN,true,"""Amaryl 4mg tablets (Zentiva Pharma UK Ltd)""	""Oral tablet""	""Oral""	""Glimepiride""	""4mg""	""Sulphonylureas""	""Glimepiride""	""Sulfonylureas""",
"""24002""",UNKNOWN,true,"""Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi)""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""25unit/1ml + 75unit/1ml""	""Biphasic Insulins""	""Insulin""	""Insulin""",
"""74860""",UNKNOWN,true,"""NovoNorm 1mg tablets (Waymade Healthcare Plc)""	""Oral tablet""	""Oral""	""Repaglinide""	""1mg""	""Meglitinides (Glinides)""	""Repaglinide""	""Other""",
