code,code_system,include,term,notes
1964,UNKNOWN,true,Diamicron 80mg tablets (Servier Laboratories Ltd),
87541,UNKNOWN,true,Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Mediq Healthcare UK Ltd),
74862,UNKNOWN,true,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Mawdsley-Brooks & Company Ltd),
6060,UNKNOWN,true,Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge (Owen Mumford Ltd),
29953,UNKNOWN,true,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),
43670,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge,
76975,UNKNOWN,true,Humalog 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc),
55234,UNKNOWN,true,Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),
7744,UNKNOWN,true,Daonil 5mg tablets (Sanofi),
6991,UNKNOWN,true,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)",
5649,UNKNOWN,true,Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units (Owen Mumford Ltd),
27461,UNKNOWN,true,Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi),
89358,UNKNOWN,true,Wegovy FlexTouch 1mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),
33101,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge,
33966,UNKNOWN,true,Insulatard 100unit/ml Injection (Novo Nordisk Ltd),
9699,UNKNOWN,true,Pioglitazone 30mg tablets,
90048,UNKNOWN,true,Mounjaro KwikPen 2.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd),
58607,UNKNOWN,true,Metformin 500mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd),
5227,UNKNOWN,true,Rosiglitazone 8mg tablets,
1751,UNKNOWN,true,Hypodermic U100 insulin syringe glass reusable 1ml,
8839,UNKNOWN,true,INSULIN SEMITARD 100 I/U INJ,
6965,UNKNOWN,true,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),
