code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""7306781000006119""",UNKNOWN,true,"""unstable type ii diabetes mellitus""	""Aurum""",
"""8012061000006117""",UNKNOWN,true,"""type 2 diabetic on insulin""	""Aurum""",
"""8012071000006112""",UNKNOWN,true,"""type ii diabetes on insulin""	""Aurum""",
"""8064411000006119""",UNKNOWN,true,"""diabetic with adequate control""	""Aurum""",
"""14757381000006119""",UNKNOWN,true,"""ketosis-resistant diabetes mellitus""	""Aurum""",
"""15498541000006112""",UNKNOWN,true,"""uncontrolled type 2 diabetes mellitus""	""Aurum""",
"""64668""",UNKNOWN,true,"""insulin treated type ii diabetes mellitus""	""Gold""",
"""106061""",UNKNOWN,true,"""type ii diabetes mellitus with ketoacidotic coma""	""Gold""",
"""43951""",UNKNOWN,true,"""diabetic - cooperative patient""	""Gold""",
"""28769""",UNKNOWN,true,"""diabetic on insulin and oral treatment""	""Gold""",
"""62674""",UNKNOWN,true,"""type 2 diabetes mellitus with mononeuropathy""	""Gold""",
"""711""",UNKNOWN,true,"""diabetes mellitus""	""Gold""",
"""61071""",UNKNOWN,true,"""type 2 diabetes mellitus with hypoglycaemic coma""	""Gold""",
"""26054""",UNKNOWN,true,"""type 2 diabetes mellitus with persistent proteinuria""	""Gold""",
"""39317""",UNKNOWN,true,"""diabetes mellitus, adult onset, + neurological manifestation""	""Gold""",
"""37806""",UNKNOWN,true,"""type 2 diabetes mellitus with peripheral angiopathy""	""Gold""",
"""108005""",UNKNOWN,true,"""type 2 diabetes mellitus with multiple complications""	""Gold""",
"""45491""",UNKNOWN,true,"""diabetes mellitus with unspecified complication""	""Gold""",
"""98616""",UNKNOWN,true,"""type ii diabetes mellitus with neurological complications""	""Gold""",
"""40401""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with gangrene""	""Gold""",
"""49074""",UNKNOWN,true,"""type 2 diabetes mellitus with ulcer""	""Gold""",
"""65062""",UNKNOWN,true,"""diabetes mellitus nos with ketoacidotic coma""	""Gold""",
"""42505""",UNKNOWN,true,"""diabetes mellitus nos with ketoacidosis""	""Gold""",
"""1407""",UNKNOWN,true,"""insulin treated type 2 diabetes mellitus""	""Gold""",
"""63357""",UNKNOWN,true,"""diabetes mellitus, adult, + peripheral circulatory disorder""	""Gold""",
"""35399""",UNKNOWN,true,"""diabetes mellitus with peripheral circulatory disorder""	""Gold""",
"""18278""",UNKNOWN,true,"""insulin treated type 2 diabetes mellitus""	""Gold""",
"""758""",UNKNOWN,true,"""type 2 diabetes mellitus""	""Gold""",
"""36695""",UNKNOWN,true,"""diabetes mellitus autosomal dominant type 2""	""Gold""",
"""24693""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with arthropathy""	""Gold""",
"""7795""",UNKNOWN,true,"""diabetes mellitus with neuropathy""	""Gold""",
"""51756""",UNKNOWN,true,"""type 2 diabetes mellitus with ketoacidotic coma""	""Gold""",
"""18390""",UNKNOWN,true,"""type 2 diabetes mellitus with persistent microalbuminuria""	""Gold""",
"""64357""",UNKNOWN,true,"""diabetes mellitus nos with unspecified complication""	""Gold""",
"""95351""",UNKNOWN,true,"""type ii diabetes mellitus with mononeuropathy""	""Gold""",
"""56268""",UNKNOWN,true,"""type ii diabetes mellitus with hypoglycaemic coma""	""Gold""",
"""59725""",UNKNOWN,true,"""type ii diabetes mellitus with ophthalmic complications""	""Gold""",
"""34268""",UNKNOWN,true,"""type 2 diabetes mellitus with neurological complications""	""Gold""",
"""34912""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with ulcer""	""Gold""",
"""47954""",UNKNOWN,true,"""type 2 diabetes mellitus without complication""	""Gold""",
"""65025""",UNKNOWN,true,"""diabetes mellitus nos with peripheral circulatory disorder""	""Gold""",
"""34283""",UNKNOWN,true,"""diabetes mellitus nos with ophthalmic manifestation""	""Gold""",
"""98723""",UNKNOWN,true,"""type ii diabetes mellitus with hypoglycaemic coma""	""Gold""",
"""52212""",UNKNOWN,true,"""[x]diabetes mellitus""	""Gold""",
"""32556""",UNKNOWN,true,"""diabetes with gangrene""	""Gold""",
"""32403""",UNKNOWN,true,"""diabetes mellitus with gangrene""	""Gold""",
"""59253""",UNKNOWN,true,"""type 2 diabetes mellitus with arthropathy""	""Gold""",
"""37648""",UNKNOWN,true,"""insulin treated non-insulin dependent diabetes mellitus""	""Gold""",
"""18264""",UNKNOWN,true,"""insulin treated type ii diabetes mellitus""	""Gold""",
"""50429""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus with ophthalm comps""	""Gold""",
"""54212""",UNKNOWN,true,"""non-insulin-dependent d m with peripheral angiopath""	""Gold""",
"""16230""",UNKNOWN,true,"""diabetes mellitus with neurological manifestation""	""Gold""",
"""70316""",UNKNOWN,true,"""type 2 diabetes mellitus with ophthalmic complications""	""Gold""",
"""64571""",UNKNOWN,true,"""type ii diabetes mellitus with nephropathy""	""Gold""",
"""24836""",UNKNOWN,true,"""type 2 diabetes mellitus with nephropathy""	""Gold""",
"""63762""",UNKNOWN,true,"""diabetes mellitus, adult onset, + unspecified complication""	""Gold""",
"""85991""",UNKNOWN,true,"""type ii diabetes mellitus with persistent microalbuminuria""	""Gold""",
"""40962""",UNKNOWN,true,"""non-insulin dependent d m with neuropathic arthropathy""	""Gold""",
"""55842""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus with neuro comps""	""Gold""",
"""65267""",UNKNOWN,true,"""type 2 diabetes mellitus with multiple complications""	""Gold""",
"""33254""",UNKNOWN,true,"""diabetes mellitus with ophthalmic manifestation""	""Gold""",
"""15690""",UNKNOWN,true,"""diabetes mellitus with ketoacidotic coma""	""Gold""",
"""41389""",UNKNOWN,true,"""diabetes mellitus, adult onset, + ophthalmic manifestation""	""Gold""",
"""65704""",UNKNOWN,true,"""type 2 diabetes mellitus with ulcer""	""Gold""",
"""55075""",UNKNOWN,true,"""type ii diabetes mellitus with ulcer""	""Gold""",
"""53392""",UNKNOWN,true,"""type ii diabetes mellitus without complication""	""Gold""",
"""46917""",UNKNOWN,true,"""type 2 diabetes mellitus with hypoglycaemic coma""	""Gold""",
"""47816""",UNKNOWN,true,"""type ii diabetes mellitus with neuropathic arthropathy""	""Gold""",
"""62146""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus with multiple comps""	""Gold""",
"""43139""",UNKNOWN,true,"""diabetes mellitus, adult onset, with hyperosmolar coma""	""Gold""",
"""12640""",UNKNOWN,true,"""type 2 diabetes mellitus with nephropathy""	""Gold""",
"""1684""",UNKNOWN,true,"""diabetic on oral treatment""	""Gold""",
"""103902""",UNKNOWN,true,"""type ii diabetes mellitus with arthropathy""	""Gold""",
"""54899""",UNKNOWN,true,"""type ii diabetes mellitus with peripheral angiopathy""	""Gold""",
"""60699""",UNKNOWN,true,"""type 2 diabetes mellitus with peripheral angiopathy""	""Gold""",
"""105784""",UNKNOWN,true,"""type 2 diabetes mellitus without complication""	""Gold""",
"""109103""",UNKNOWN,true,"""type ii diabetes mellitus without complication""	""Gold""",
"""101728""",UNKNOWN,true,"""diabetic on subcutaneous treatment""	""Gold""",
"""59365""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with nephropathy""	""Gold""",
"""12736""",UNKNOWN,true,"""type 2 diabetes mellitus with gangrene""	""Gold""",
"""66965""",UNKNOWN,true,"""type 2 diabetes mellitus with neuropathic arthropathy""	""Gold""",
"""67905""",UNKNOWN,true,"""type ii diabetes mellitus with neurological complications""	""Gold""",
"""45919""",UNKNOWN,true,"""type 2 diabetes mellitus with neurological complications""	""Gold""",
"""43227""",UNKNOWN,true,"""type ii diabetes mellitus with multiple complications""	""Gold""",
"""33807""",UNKNOWN,true,"""diabetes mellitus, adult with gangrene""	""Gold""",
"""17886""",UNKNOWN,true,"""diabetic - follow-up default""	""Gold""",
"""111483""",UNKNOWN,true,"""diabetic on insulin and glucagon-like peptide 1""	""Gold""",
"""110344""",UNKNOWN,true,"""diabetic on non-insulin injectable medication""	""Gold""",
"""106528""",UNKNOWN,true,"""type ii diabetes mellitus with ketoacidosis""	""Gold""",
"""22023""",UNKNOWN,true,"""diabetic - poor control nos""	""Gold""",
"""4513""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus""	""Gold""",
"""47321""",UNKNOWN,true,"""type 2 diabetes mellitus with ophthalmic complications""	""Gold""",
"""1682""",UNKNOWN,true,"""diabetes mellitus with ketoacidosis""	""Gold""",
"""9013""",UNKNOWN,true,"""unstable diabetes""	""Gold""",
"""22573""",UNKNOWN,true,"""diabetes mellitus nos with neurological manifestation""	""Gold""",
"""50972""",UNKNOWN,true,"""diabetes mellitus nos with no mention of complication""	""Gold""",
"""47315""",UNKNOWN,true,"""type ii diabetes mellitus - poor control""	""Gold""",
"""104323""",UNKNOWN,true,"""type ii diabetes mellitus with gangrene""	""Gold""",
"""24458""",UNKNOWN,true,"""type ii diabetes mellitus - poor control""	""Gold""",
"""45913""",UNKNOWN,true,"""type 2 diabetes mellitus - poor control""	""Gold""",
"""50813""",UNKNOWN,true,"""type ii diabetes mellitus with mononeuropathy""	""Gold""",
"""102201""",UNKNOWN,true,"""type ii diabetes mellitus with nephropathy""	""Gold""",
"""113609""",UNKNOWN,true,"""type ii diabetes mellitus with gastroparesis""	""Gold""",
"""29979""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus without complication""	""Gold""",
"""13071""",UNKNOWN,true,"""diabetic - good control""	""Gold""",
"""68843""",UNKNOWN,true,"""diabetes mellitus, adult onset, with ketoacidotic coma""	""Gold""",
"""18219""",UNKNOWN,true,"""type ii diabetes mellitus""	""Gold""",
"""8842""",UNKNOWN,true,"""diabetic on insulin""	""Gold""",
"""63371""",UNKNOWN,true,"""diabetes mellitus, adult, + other specified manifestation""	""Gold""",
"""2378""",UNKNOWN,true,"""diabetic - poor control""	""Gold""",
"""17869""",UNKNOWN,true,"""diabetic-uncooperative patient""	""Gold""",
"""46150""",UNKNOWN,true,"""type 2 diabetes mellitus with gangrene""	""Gold""",
"""14803""",UNKNOWN,true,"""diabetes mellitus, adult onset, no mention of complication""	""Gold""",
"""21482""",UNKNOWN,true,"""diabetes mellitus with hyperosmolar coma""	""Gold""",
"""32627""",UNKNOWN,true,"""type 2 diabetes mellitus with ketoacidosis""	""Gold""",
"""38986""",UNKNOWN,true,"""diabetes mellitus with no mention of complication""	""Gold""",
"""35107""",UNKNOWN,true,"""diabetes mellitus with nephropathy nos""	""Gold""",
"""72345""",UNKNOWN,true,"""diabetes mellitus nos with hyperosmolar coma""	""Gold""",
"""5884""",UNKNOWN,true,"""niddm - non-insulin dependent diabetes mellitus""	""Gold""",
"""17859""",UNKNOWN,true,"""type 2 diabetes mellitus""	""Gold""",
"""100964""",UNKNOWN,true,"""type ii diabetes mellitus with ophthalmic complications""	""Gold""",
"""110379""",UNKNOWN,true,"""diabetic on oral treatment and glucagon-like peptide 1""	""Gold""",
"""33343""",UNKNOWN,true,"""diabetes mellitus with other specified manifestation""	""Gold""",
"""43785""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with hypoglyca coma""	""Gold""",
"""60796""",UNKNOWN,true,"""type ii diabetes mellitus with persistent proteinuria""	""Gold""",
"""8403""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus - poor control""	""Gold""",
"""72320""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with mononeuropathy""	""Gold""",
"""109197""",UNKNOWN,true,"""type ii diabetes mellitus with neuropathic arthropathy""	""Gold""",
"""54856""",UNKNOWN,true,"""diabetes mellitus, adult onset, with ketoacidosis""	""Gold""",
