code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antidiabetic""	""group""",
"""823541000033119""",UNKNOWN,true,"""Lentard Mc  Injection  100 units/ml, 10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""896941000033112""",UNKNOWN,true,"""Metformin 500mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""500.000mg""	""06010202""	""Metformin""	""Metformin""",
"""897041000033113""",UNKNOWN,true,"""Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""850.000mg""	""06010202""	""Metformin""	""Metformin""",
"""915641000033117""",UNKNOWN,true,"""Pork Mixtard 30 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""920141000033112""",UNKNOWN,true,"""Minodiab 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""2.500mg""	NA	""Glipizide""	""Sulfonylureas""",
"""920241000033117""",UNKNOWN,true,"""Minodiab 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""5.000mg""	NA	""Glipizide""	""Sulfonylureas""",
"""924541000033112""",UNKNOWN,true,"""Monoject hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""926541000033117""",UNKNOWN,true,"""Monotard Mc Insulin Zinc Susp Bp Nova  Injection  100 units/1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""961041000033114""",UNKNOWN,true,"""Neutral Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""961141000033113""",UNKNOWN,true,"""Neutral Insulin (Human)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
