code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Mood Stabiliser""",
"""4151241000033119""",UNKNOWN,true,"""Episenta 1000mg modified-release granules sachets""	""Modified-release granules""	""Oral""	""Valproate""	""1.000gram""	NA	""Valproate""",
"""4434741000033113""",UNKNOWN,true,"""Sodium valproate 1g/10ml solution for injection ampoules""	""Solution for injection""	""Intravenous""	""Valproate""	""100.000mg/1.000ml""	""04080100""	""Valproate""",
"""4549841000033112""",UNKNOWN,true,"""Sodium valproate 100mg modified-release granules sachets sugar free""	""Modified-release granules""	""Oral""	""Valproate""	""100.000mg""	""04080100""	""Valproate""",
"""4549941000033116""",UNKNOWN,true,"""Sodium valproate 250mg modified-release granules sachets sugar free""	""Modified-release granules""	""Oral""	""Valproate""	""250.000mg""	""04080100""	""Valproate""",
"""4550041000033113""",UNKNOWN,true,"""Sodium valproate 50mg modified-release granules sachets sugar free""	""Modified-release granules""	""Oral""	""Valproate""	""50.000mg""	""04080100""	""Valproate""",
"""4550141000033112""",UNKNOWN,true,"""Sodium valproate 750mg modified-release granules sachets sugar free""	""Modified-release granules""	""Oral""	""Valproate""	""750.000mg""	""04080100""	""Valproate""",
"""4550241000033117""",UNKNOWN,true,"""Epilim Chronosphere MR 50mg granules sachets""	""Modified-release granules""	""Oral""	""Valproate""	""50.000mg""	NA	""Valproate""",
"""4550341000033110""",UNKNOWN,true,"""Epilim Chronosphere MR 100mg granules sachets""	""Modified-release granules""	""Oral""	""Valproate""	""100.000mg""	NA	""Valproate""",
"""4550441000033116""",UNKNOWN,true,"""Epilim Chronosphere MR 250mg granules sachets""	""Modified-release granules""	""Oral""	""Valproate""	""250.000mg""	NA	""Valproate""",
"""4550541000033115""",UNKNOWN,true,"""Epilim Chronosphere MR 500mg granules sachets""	""Modified-release granules""	""Oral""	""Valproate""	""500.000mg""	NA	""Valproate""",
"""4550641000033119""",UNKNOWN,true,"""Epilim Chronosphere MR 750mg granules sachets""	""Modified-release granules""	""Oral""	""Valproate""	""750.000mg""	NA	""Valproate""",
"""5055041000033113""",UNKNOWN,true,"""Epilim Chronosphere MR 1000mg granules sachets""	""Modified-release granules""	""Oral""	""Valproate""	""1.000gram""	NA	""Valproate""",
"""8535841000033110""",UNKNOWN,true,"""Sodium valproate 400mg/4ml solution for injection ampoules""	""Solution for injection""	""Intravenous""	""Valproate""	""100.000mg/1.000ml""	""04080100""	""Valproate""",
"""8536541000033119""",UNKNOWN,true,"""Lamotrigine 50mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Lamotrigine""	""10.000mg/1.000ml""	""04080100""	""Lamotrigine""",
"""9119841000033112""",UNKNOWN,true,"""Carbagen 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""100.000mg""	NA	""Carbamazepine""",
"""9119941000033116""",UNKNOWN,true,"""Carbagen 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""200.000mg""	NA	""Carbamazepine""",
"""9120041000033118""",UNKNOWN,true,"""Carbagen 400mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""400.000mg""	NA	""Carbamazepine""",
"""10671241000033119""",UNKNOWN,true,"""Lithium carbonate 250mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lithium""	""250.000mg""	NA	""Lithium""",
"""11724841000033116""",UNKNOWN,true,"""Valproic acid 500mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Valproate/Valproic""	""100.000mg/1.000ml""	""04080100""	""Valproate/Valproic""",
"""12578741000033117""",UNKNOWN,true,"""Depakin 200mg/ml oral solution""	""Oral solution""	""Oral""	""Valproate""	""200.000mg/1.000ml""	NA	""Valproate""",
"""13149541000033117""",UNKNOWN,true,"""Belvo 250mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""250.000mg""	NA	""Valproate""",
"""13149641000033116""",UNKNOWN,true,"""Belvo 500mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""500.000mg""	NA	""Valproate""",
"""13348941000033113""",UNKNOWN,true,"""Syonell 250mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""250.000mg""	NA	""Valproate""",
"""13349541000033114""",UNKNOWN,true,"""Syonell 500mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""500.000mg""	NA	""Valproate""",
