code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Lipid regulating meds""",
"""49751""",UNKNOWN,true,"4	""Atorvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Atorvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""4961""",UNKNOWN,true,"1832	""Lipobay 300microgram Tablet (Bayer Plc)""	""Cerivastatin""	""300microgram""	""Oral tablet""	""Oral""	""Statins""	""Cerivastatin""",
"""85273""",UNKNOWN,true,"1	""Rosuvastatin 5mg tablets (Sun Pharma UK Ltd)""	""Rosuvastatin""	""5mg""	""Oral tablet""	""Oral""	""Statins""	""Rosuvastatin""",
"""77306""",UNKNOWN,true,"2	""Nandovar XL 80mg tablets (Sandoz Ltd)""	""Fluvastatin""	""80mg""	""Modified-release tablet""	""Oral""	""Statins""	""Fluvastatin""",
"""10172""",UNKNOWN,true,"42575	""Simvastatin 40mg / Ezetimibe 10mg tablets""	""Ezetimibe/Simvastatin""	""40mg + 10mg""	""Oral tablet""	""Oral""	""Ezetimibe/Statins""	""Ezetimibe/Simvastatin""",
"""74085""",UNKNOWN,true,"9	""Lescol 40mg capsules (Sigma Pharmaceuticals Plc)""	""Fluvastatin""	""40mg""	""Oral capsule""	""Oral""	""Statins""	""Fluvastatin""",
"""25""",UNKNOWN,true,"23147151	""Simvastatin 20mg tablets""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""82951""",UNKNOWN,true,"1	""Fenofibrate micronised 67mg capsules (Accord-UK Ltd)""	""Fenofibrate""	""67mg""	""Oral capsule""	""Oral""	""Fibrates""	""Fenofibrate""",
"""51233""",UNKNOWN,true,"0	""Simvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Simvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""50963""",UNKNOWN,true,"244	""Atorvastatin 40mg tablets (Teva UK Ltd)""	""Atorvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""63074""",UNKNOWN,true,"0	""Pravastatin 20mg tablets (PLIVA Pharma Ltd)""	""Pravastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Pravastatin""",
"""9920""",UNKNOWN,true,"163784	""Simvador 20mg tablets (Dexcel-Pharma Ltd)""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""77782""",UNKNOWN,true,"0	""Atorvastatin 40mg tablets (Bristol Laboratories Ltd)""	""Atorvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""81205""",UNKNOWN,true,"0	""Rosuvastatin 20mg tablets (DE Pharmaceuticals)""	""Rosuvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Rosuvastatin""",
"""44650""",UNKNOWN,true,"53	""Simvastatin 40mg tablets (Dexcel-Pharma Ltd)""	""Simvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""49587""",UNKNOWN,true,"6	""Simvastatin 80mg tablets (Almus Pharmaceuticals Ltd)""	""Simvastatin""	""80mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""17683""",UNKNOWN,true,"11372	""Lipitor 80mg tablets (Viatris UK Healthcare Ltd)""	""Atorvastatin""	""80mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""62979""",UNKNOWN,true,"0	""Pravastatin 40mg tablets (Kent Pharma (UK) Ltd)""	""Pravastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Pravastatin""",
"""83832""",UNKNOWN,true,"0	""Simvastatin 20mg tablets (Medihealth (Northern) Ltd)""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""52953""",UNKNOWN,true,"1	""Simvastatin 20mg tablets (Bristol Laboratories Ltd)""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""7551""",UNKNOWN,true,"7683	""Niaspan 1g modified-release tablets (Abbott Laboratories Ltd)""	""Nicotinic acid/Niaspan""	""1gram""	""Modified-release tablet""	""Oral""	""Nicotinic Acid Group""	""Nicotinic acid/Niaspan""",
"""602""",UNKNOWN,true,"938725	""Bezafibrate 400mg modified-release tablets""	""Bezafibrate""	""400mg""	""Modified-release tablet""	""Oral""	""Fibrates""	""Bezafibrate""",
"""88902""",UNKNOWN,true,"0	""Simvastatin 40mg tablets (Medihealth (Northern) Ltd)""	""Simvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""23153""",UNKNOWN,true,"251	""Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd)""	""Bezafibrate""	""400mg""	""Modified-release tablet""	""Oral""	""Fibrates""	""Bezafibrate""",
"""70580""",UNKNOWN,true,"2692	""Evolocumab 140mg/1ml solution for injection pre-filled disposable devices""	""Evolocumab""	""140mg/1ml""	""Solution for injection""	""Subcutaneous""	""Other Lipid-Regulating Products""	""Evolocumab""",
"""84810""",UNKNOWN,true,"4	""Atorvastatin 10mg tablets (Mawdsley-Brooks & Company Ltd)""	""Atorvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""2215""",UNKNOWN,true,"19193	""Lopid 300mg capsules (Pfizer Ltd)""	""Gemfibrozil""	""300mg""	""Oral capsule""	""Oral""	""Fibrates""	""Gemfibrozil""",
"""67157""",UNKNOWN,true,"0	""Fenofibrate micronised 200mg capsules (Phoenix Healthcare Distribution Ltd)""	""Fenofibrate""	""200mg""	""Oral capsule""	""Oral""	""Fibrates""	""Fenofibrate""",
"""77358""",UNKNOWN,true,"1343	""Zocor 10mg tablets (Waymade Healthcare Plc)""	""Simvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""8366""",UNKNOWN,true,"3027	""Probucol 250mg tablet""	""Probucol""	""250mg""	""Tablets""	""Oral""	""Other Lipid-Regulating Products""	""Probucol""",
