code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""CleansedReadCode""	""Term""	""cat""",
"""307661000000114""",UNKNOWN,true,"""8HHy.00""	""referral to diabetic register""	""Unknown""",
"""2533110014""",UNKNOWN,true,"""8Hj0.00""	""referral to diabetes structured education programme""	""Unknown""",
"""546871000000112""",UNKNOWN,true,"""8Hj3.00""	""referral to dafne diabetes structured education programme""	""Type 1""",
"""546961000000111""",UNKNOWN,true,"""8Hj4.00""	""referral to desmond diabetes structured education programme""	""Type 2""",
"""547061000000110""",UNKNOWN,true,"""8Hj5.00""	""referral to xpert diabetes structured education programme""	""Type 2""",
"""283889016""",UNKNOWN,true,"""8HKE.00""	""diabetology d.v. requested""	""Unknown""",
"""406351000000114""",UNKNOWN,true,"""8Hl1.00""	""referral for diabetic retinopathy screening""	""Unknown""",
"""479981000000119""",UNKNOWN,true,"""8Hl4.00""	""referral to community diabetes specialist nurse""	""Unknown""",
"""2116661000000116""",UNKNOWN,true,"""8Hlc.00""	""referral to community diabetes service""	""Unknown""",
"""283938017""",UNKNOWN,true,"""8HLE.00""	""diabetology d.v. done""	""Unknown""",
"""283974014""",UNKNOWN,true,"""8HME.00""	""listed for diabetology admissn""	""Unknown""",
"""2533106011""",UNKNOWN,true,"""8HTe.00""	""referral to diabetes preconception counselling clinic""	""Unknown""",
"""2182651000000118""",UNKNOWN,true,"""8HTE100""	""referral to community diabetes clinic""	""Unknown""",
"""299991000000112""",UNKNOWN,true,"""8HTi.00""	""referral to multidisciplinary diabetic clinic""	""Unknown""",
"""308811000000110""",UNKNOWN,true,"""8HTk.00""	""referral to diabetic eye clinic""	""Unknown""",
"""284124018""",UNKNOWN,true,"""8HVU.00""	""private referral to diabetologist""	""Unknown""",
"""2474309019""",UNKNOWN,true,"""8I3W.00""	""diabetic foot examination declined""	""Unknown""",
"""2474671011""",UNKNOWN,true,"""8I3X.00""	""diabetic retinopathy screening refused""	""Unknown""",
"""2548633012""",UNKNOWN,true,"""8I57.00""	""patient held diabetic record declined""	""Unknown""",
"""2159960011""",UNKNOWN,true,"""8I6F.00""	""diabetic retinopathy screening not indicated""	""Unknown""",
"""2159961010""",UNKNOWN,true,"""8I6G.00""	""diabetic foot examination not indicated""	""Unknown""",
"""547331000000115""",UNKNOWN,true,"""8I81.00""	""did not complete diabetes structured education programme""	""Unknown""",
