code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""dmdcode""	""gemscriptcode""	""productname""	""drugsubstance""	""strength""	""formulation""	""route""	""bnfcode""	""bnfchapter""	""Statin""",
"""21020""",UNKNOWN,true,"9309911000001100	""89244020""	""Inegy 10mg/20mg tablets (Merck Sharp & Dohme Ltd)""	""Simvastatin/Ezetimibe""	""20mg + 10mg""	""Tablet""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""22579""",UNKNOWN,true,"113211000001106	""76460020""	""Zocor 80mg tablets (Merck Sharp & Dohme Ltd)""	""Simvastatin""	""80mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""24509""",UNKNOWN,true,"NA	""!6579801""	""SIMVASTATIN""	""""	""""	""""	""""	""00000000""	""Unknown""	""Simvastatin""",
"""29438""",UNKNOWN,true,"NA	""!6579802""	""SIMVASTATIN""	""""	""""	""""	""""	""00000000""	""Unknown""	""Simvastatin""",
"""31658""",UNKNOWN,true,"134491009	""76528020""	""Cerivastatin 800microgram tablets""	""Cerivastatin sodium""	""800microgram""	""Tablet""	""Oral""	""00000000""	""Unknown""	""Other""",
"""31930""",UNKNOWN,true,"238335001000027104	""88103020""	""Zocor heart-pro 10mg Tablet (McNeil Products Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""32909""",UNKNOWN,true,"4579211000001101	""65854020""	""Simvastatin 80mg tablets (A A H Pharmaceuticals Ltd)""	""Simvastatin""	""80mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""32921""",UNKNOWN,true,"163075001000027104	""69857020""	""Pravastatin 10mg Tablet (Dr Reddy's Laboratories (UK) Ltd)""	""Pravastatin sodium""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""33082""",UNKNOWN,true,"4578811000001107	""65848020""	""Simvastatin 20mg tablets (A A H Pharmaceuticals Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34312""",UNKNOWN,true,"4464011000001108	""66042020""	""Simvastatin 20mg tablets (Mylan)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34316""",UNKNOWN,true,"4380911000001108	""65879020""	""Simvastatin 20mg tablets (Teva UK Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34353""",UNKNOWN,true,"4464211000001103	""66045020""	""Simvastatin 40mg tablets (Mylan)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34366""",UNKNOWN,true,"4466511000001106	""65924020""	""Simvastatin 20mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34376""",UNKNOWN,true,"4381111000001104	""65883020""	""Simvastatin 40mg tablets (Teva UK Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34381""",UNKNOWN,true,"4466711000001101	""65927020""	""Simvastatin 40mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34476""",UNKNOWN,true,"134095001000027104	""65672020""	""Simvastatin 20mg Tablet (Ratiopharm UK Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34481""",UNKNOWN,true,"4466211000001108	""65920020""	""Simvastatin 10mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34502""",UNKNOWN,true,"4579011000001106	""65851020""	""Simvastatin 40mg tablets (A A H Pharmaceuticals Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""34535""",UNKNOWN,true,"4463811000001100	""66039020""	""Simvastatin 10mg tablets (Mylan)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
