code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""SH""	""Group""",
"""50502""",UNKNOWN,true,"""TN00.00""	""injury ?accidental, poisoning by analgesic or anti-pyretic""	1	""unknown intent""",
"""50601""",UNKNOWN,true,"""ZX19200""	""slapping self""	1	""self harm""",
"""50877""",UNKNOWN,true,"""U408.00""	""[x]poison/exposure, ?intent, to other/unspec drug/medicament""	1	""unknown intent""",
"""51046""",UNKNOWN,true,"""U48..00""	""[x]contact with steam hot vapours+objects undetermn intent""	1	""unknown intent""",
"""51192""",UNKNOWN,true,"""ZX1S.00""	""throwing self onto floor""	1	""self harm""",
"""51224""",UNKNOWN,true,"""U24..00""	""[x]intent self harm by rifle shotgun/larger firearm disch""	1	""self harm""",
"""51292""",UNKNOWN,true,"""U202.00""	""[x]intent self poison/exposure to sedative hypnotic""	1	""self harm""",
"""51309""",UNKNOWN,true,"""U20B.00""	""[x]intent self poison/exposure to other gas/vapour""	1	""self harm""",
"""51328""",UNKNOWN,true,"""TK21.00""	""suicide and selfinflicted poisoning by other carbon monoxide""	1	""self harm""",
"""51362""",UNKNOWN,true,"""U20y000""	""[x]int self poison/exposure to unspecif chemical at home""	1	""self harm""",
"""51381""",UNKNOWN,true,"""U202.13""	""[x]overdose - temazepam""	1	""unknown intent""",
"""51685""",UNKNOWN,true,"""TK31.00""	""suicide + selfinflicted injury by suffocation by plastic bag""	1	""self harm""",
"""51971""",UNKNOWN,true,"""TN87.00""	""injury ?accidental, by caustic substances, except poisoning""	1	""unknown intent""",
"""52004""",UNKNOWN,true,"""TN06.00""	""injury ?accidental, poisoning by corrosive/caustic substance""	1	""unknown intent""",
"""52148""",UNKNOWN,true,"""U470.00""	""[x]exposure to smoke fire+flame undeterm intent occ at home""	1	""unknown intent""",
"""52325""",UNKNOWN,true,"""U4D..00""	""[x]crashing of motor vehicle, undetermined intent""	1	""unknown intent""",
"""52361""",UNKNOWN,true,"""U49z.00""	""[x]contact with sharp obj undeterm intent occ unspecif place""	1	""unknown intent""",
"""52376""",UNKNOWN,true,"""U42..00""	""[x]drowning and submersion, undetermined intent""	1	""unknown intent""",
"""52458""",UNKNOWN,true,"""TK06.00""	""suicide + selfinflicted poisoning by agricultural chemical""	1	""self harm""",
"""52611""",UNKNOWN,true,"""U40A.00""	""[x]pois/exposure,?intent,to organ solvent,halogen hydrocarb""	1	""unknown intent""",
"""52712""",UNKNOWN,true,"""U205000""	""[x]int self poison/exposure to narcotic drug at home""	1	""self harm""",
"""52778""",UNKNOWN,true,"""U29z.00""	""[x]intentional self harm by sharp object occ unspecif place""	1	""self harm""",
"""52881""",UNKNOWN,true,"""U291.00""	""[x]intent self harm by sharp object occ resident instit'n""	1	""self harm""",
"""52931""",UNKNOWN,true,"""U202.15""	""[x]overdose - nitrazepam""	1	""unknown intent""",
"""53004""",UNKNOWN,true,"""U20B000""	""[x]int self poison/exposure to other gas/vapour at home""	1	""self harm""",
"""53204""",UNKNOWN,true,"""U201000""	""[x]int self poison/exposure to antiepileptic at home""	1	""self harm""",
"""53444""",UNKNOWN,true,"""U2A3.00""	""[x]intent self harm by blunt object occ sports/athlet area""	1	""self harm""",
"""54091""",UNKNOWN,true,"""U210.00""	""[x]intent self harm by hanging strangulat/suffocat occ home""	1	""self harm""",
"""54695""",UNKNOWN,true,"""U20By00""	""[x]int self poison other gas/vapour other spec place""	1	""self harm""",
"""54929""",UNKNOWN,true,"""ZX1M.00""	""shooting self""	1	""self harm""",
"""54950""",UNKNOWN,true,"""U44..00""	""[x]rifle shotgun+larger firearm discharge undetermin intent""	1	""unknown intent""",
"""55395""",UNKNOWN,true,"""U202.11""	""[x]overdose - sleeping tabs""	1	""unknown intent""",
"""56075""",UNKNOWN,true,"""U2B4.00""	""[x]intent self harm by jump from high place occ street/h'way""	1	""self harm""",
"""56079""",UNKNOWN,true,"""TN2y.00""	""injury ?accidental, poisoning by other spec gas or vapour""	1	""unknown intent""",
"""56097""",UNKNOWN,true,"""U4A0.00""	""[x]contact wth blunt object undetermined intent occ at home""	1	""unknown intent""",
"""56137""",UNKNOWN,true,"""TK52.00""	""suicide and selfinflicted injury by hunting rifle""	1	""self harm""",
"""56138""",UNKNOWN,true,"""U242.00""	""[x]int slf hrm rifl s'gun/lrg frarm dis sch/ins/pub adm area""	1	""self harm""",
"""56378""",UNKNOWN,true,"""U28..00""	""[x]intentional self harm by steam hot vapours / hot objects""	1	""self harm""",
"""56380""",UNKNOWN,true,"""U2D..00""	""[x]intentional self harm by crashing of motor vehicle""	1	""self harm""",
"""56681""",UNKNOWN,true,"""ZX1H.00""	""self-asphyxiation""	1	""self harm""",
"""56877""",UNKNOWN,true,"""TN5z.00""	""injury ?accidental, by firearm or explosive nos""	1	""unknown intent""",
"""57079""",UNKNOWN,true,"""U20y.00""	""[x]intent self poison/exposure to unspecif chemical""	1	""self harm""",
