code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""	""period""",
"""69780""",UNKNOWN,true,"""Lyu5100""	9	0	0	0	""[x]other and unspecified forceps delivery""	""February 2009""	""postnatal""",
"""13418""",UNKNOWN,true,"""62W..00""	10599	0	4333	55244	""antenatal blood tests""	""February 2009""	""early pregnancy""",
"""88361""",UNKNOWN,true,"""L248.11""	4	0	1	0	""persistent hymen in pregnancy, childbirth and the puerperium""	""February 2009""	""postnatal""",
"""31610""",UNKNOWN,true,"""L248.13""	87	0	13	0	""vulval abnormality in pregnancy/childbirth/puerperium""	""February 2009""	""postnatal""",
"""54677""",UNKNOWN,true,"""L167200""	5	0	1	0	""liver disorder in pregnancy - not delivered""	""February 2009""	""unspecified""",
"""62862""",UNKNOWN,true,"""L342200""	25	0	2	0	""third degree perineal tear during delivery with p/n problem""	""February 2009""	""postnatal""",
"""69698""",UNKNOWN,true,"""Z262P11""	10	0	0	0	""placenta normal""	""February 2009""	""late pregnancy""",
"""66836""",UNKNOWN,true,"""L361z00""	12	0	0	0	""other immediate postpartum haemorrhage nos""	""February 2009""	""postnatal""",
"""41899""",UNKNOWN,true,"""L240000""	21	0	1	0	""congenital abnormality of uterus affecting obstetric care""	""February 2009""	""unspecified""",
"""28726""",UNKNOWN,true,"""7F19100""	1383	0	21	0	""water birth delivery""	""February 2009""	""postnatal""",
"""101401""",UNKNOWN,true,"""8ID..00""	33	0	2	0	""postnatal depression not discussed""	""January 2011""	""postnatal""",
"""102576""",UNKNOWN,true,"""L051711""	91	0	0	0	""incomplete termination of pregnancy""	""July 2011""	""unspecified""",
"""100628""",UNKNOWN,true,"""L184400""	2	0	0	0	""mental disorder in puerperium - baby previously delivered""	""September 2010""	""postnatal""",
"""25731""",UNKNOWN,true,"""Z27..00""	40	0	1	0	""obstetric investigative observation""	""February 2009""	""unspecified""",
"""92998""",UNKNOWN,true,"""Lyu1.00""	2	0	1	0	""[x]oedema,proteinuria+hypertens in pregnancy,childbrth,puerp""	""February 2009""	""unspecified""",
"""112533""",UNKNOWN,true,"""Lyu5600""	1	0	0	0	""[x]other multiple delivery""	""February 2018""	""postnatal""",
"""36903""",UNKNOWN,true,"""67AZ.00""	2990	0	8	1	""pregnancy advice nos""	""February 2009""	""unspecified""",
"""46448""",UNKNOWN,true,"""Q486.00""	54	0	0	0	""fetal death due to termination of pregnancy""	""February 2009""	""unspecified""",
"""61533""",UNKNOWN,true,"""L270200""	11	0	0	0	""polyhydramnios with antenatal problem""	""February 2009""	""early pregnancy""",
"""103877""",UNKNOWN,true,"""L361200""	2	0	0	0	""other immediate postpartum haemorrhage with postnatal prob""	""March 2012""	""postnatal""",
"""33773""",UNKNOWN,true,"""7F19y00""	789	0	6	0	""other specified normal delivery""	""February 2009""	""postnatal""",
