code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Antidiabetic""	""group""	""database""",
"""725841000033118""",UNKNOWN,true,"""Humulin Lente 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""725941000033114""",UNKNOWN,true,"""Human Actrapid  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""726041000033116""",UNKNOWN,true,"""Human Mixtard 30  Injection  10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""726141000033117""",UNKNOWN,true,"""Human Mixtard 10  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""726241000033112""",UNKNOWN,true,"""Human Mixtard 20  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""726341000033119""",UNKNOWN,true,"""Human Mixtard 30  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""726441000033113""",UNKNOWN,true,"""Human Mixtard 40  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""726541000033114""",UNKNOWN,true,"""Human Mixtard 50  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""726641000033110""",UNKNOWN,true,"""Human Insulatard Ge  Penfill cartridges (3 ml)  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""726941000033115""",UNKNOWN,true,"""Human Insulatard Ge  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""727041000033119""",UNKNOWN,true,"""HumaJect S Pen 100units/ml solution for injection""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""727141000033115""",UNKNOWN,true,"""Humaject (Humulin M1)  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""727241000033110""",UNKNOWN,true,"""Humaject (Humulin M2)  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""727341000033117""",UNKNOWN,true,"""HumaJect M3 Pen 100units/ml suspension for injection""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""727441000033111""",UNKNOWN,true,"""Humaject (Humulin M4)  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""727541000033112""",UNKNOWN,true,"""Humaject (Humulin M5)  Preloaded pen""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""727641000033113""",UNKNOWN,true,"""Humaject (Humulin I)  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""734841000033115""",UNKNOWN,true,"""Hypurin Porcine Biphasic Isophane  Injection (cartridges)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""734941000033111""",UNKNOWN,true,"""Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""735241000033115""",UNKNOWN,true,"""Hypurin Bovine Lente  Injection (cartridges)  100 i.u./ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""735441000033119""",UNKNOWN,true,"""Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""735841000033116""",UNKNOWN,true,"""Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""735941000033112""",UNKNOWN,true,"""Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""736041000033119""",UNKNOWN,true,"""Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""736141000033115""",UNKNOWN,true,"""Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""741441000033115""",UNKNOWN,true,"""Hypodermic Insulin  Syringe""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""757641000033112""",UNKNOWN,true,"""Insulin lispro 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
