code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""GLP-1RA""",
"""82258""",UNKNOWN,true,"8546	""Rybelsus 3mg tablets (Novo Nordisk Ltd)""	""Semaglutide""	""3mg""	""Oral tablet""	""Oral""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""64622""",UNKNOWN,true,"0	""Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (Lexon (UK) Ltd)""	""Exenatide""	""2mg""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""90129""",UNKNOWN,true,"10686	""Mounjaro KwikPen 5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)""	""Tirzepatide""	""8.333mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""81073""",UNKNOWN,true,"0	""Victoza 6mg/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd)""	""Liraglutide""	""6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Liraglutide""",
"""89322""",UNKNOWN,true,"1529	""Wegovy FlexTouch 0.25mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""676microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""63823""",UNKNOWN,true,"78793	""Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices""	""Dulaglutide""	""3mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""",
"""80810""",UNKNOWN,true,"7527	""Bydureon BCise 2mg/0.85ml prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)""	""Exenatide""	""2.353mg/1ml""	""Prolonged-release suspension for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""90667""",UNKNOWN,true,"54	""Tirzepatide 12.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Tirzepatide""	""20.833mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""91411""",UNKNOWN,true,"3	""Diavic 6mg/ml solution for injection 3ml pre-filled pens (Sun Pharma UK Ltd)""	""Liraglutide""	""6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Liraglutide""",
"""90200""",UNKNOWN,true,"188	""Tirzepatide 10mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Tirzepatide""	""16.667mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""83632""",UNKNOWN,true,"7228	""Dulaglutide 4.5mg/0.5ml solution for injection pre-filled disposable devices""	""Dulaglutide""	""9mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""",
"""40693""",UNKNOWN,true,"380997	""Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices""	""Liraglutide""	""6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Liraglutide""",
"""90367""",UNKNOWN,true,"682	""Mounjaro KwikPen 15mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)""	""Tirzepatide""	""25mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""90126""",UNKNOWN,true,"959	""Tirzepatide 2.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Tirzepatide""	""4.167mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""88761""",UNKNOWN,true,"126	""Mounjaro 5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)""	""Tirzepatide""	""10mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""55767""",UNKNOWN,true,"730	""Lyxumia 10micrograms/20micrograms treatment initiation pack (Sanofi)""	""Lixisenatide""	NA	""Not applicable""	""Route of administration not applicable""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Lixisenatide""",
"""82909""",UNKNOWN,true,"21752	""Semaglutide 14mg tablets""	""Semaglutide""	""14mg""	""Oral tablet""	""Oral""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""35150""",UNKNOWN,true,"46781	""Byetta 10micrograms/0.04ml solution for injection 2.4ml pre-filled pens (AstraZeneca UK Ltd)""	""Exenatide""	""250microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""76624""",UNKNOWN,true,"70254	""Semaglutide 1mg/0.74ml solution for injection 3ml pre-filled disposable devices""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""69947""",UNKNOWN,true,"4	""Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices""	""Albiglutide""	""30mg""	""Powder and solvent for solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Albiglutide""",
"""83706""",UNKNOWN,true,"12715	""Rybelsus 14mg tablets (Novo Nordisk Ltd)""	""Semaglutide""	""14mg""	""Oral tablet""	""Oral""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""40642""",UNKNOWN,true,"183491	""Victoza 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Liraglutide""	""6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Liraglutide""",
"""62904""",UNKNOWN,true,"8905	""Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices""	""Exenatide""	""2mg""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""89378""",UNKNOWN,true,"714	""Wegovy FlexTouch 1.7mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""2.27mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""55413""",UNKNOWN,true,"21214	""Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices""	""Lixisenatide""	""100microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Lixisenatide""",
"""90668""",UNKNOWN,true,"60	""Tirzepatide 15mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Tirzepatide""	""25mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""89481""",UNKNOWN,true,"123	""Semaglutide 1mg/0.75ml solution for injection 3ml pre-filled disposable devices""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""55728""",UNKNOWN,true,"772	""Lyxumia 10micrograms/0.2ml solution for injection 3ml pre-filled pens (Sanofi)""	""Lixisenatide""	""50microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Lixisenatide""",
"""89962""",UNKNOWN,true,"15	""Tirzepatide 5mg/0.5ml solution for injection pre-filled disposable devices""	""Tirzepatide""	""10mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""83262""",UNKNOWN,true,"24386	""Trulicity 3mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)""	""Dulaglutide""	""6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""",
"""76776""",UNKNOWN,true,"13	""Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)""	""Lixisenatide""	""33microgram/1ml + 100unit/1ml""	""Solution for injection""	""Subcutaneous""	""Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin""	""Lixisenatide""",
"""89317""",UNKNOWN,true,"507	""Semaglutide 0.25mg/0.37ml solution for injection 1.5ml pre-filled disposable devices""	""Semaglutide""	""676microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""82697""",UNKNOWN,true,"17306	""Rybelsus 7mg tablets (Novo Nordisk Ltd)""	""Semaglutide""	""7mg""	""Oral tablet""	""Oral""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""82174""",UNKNOWN,true,"17405	""Semaglutide 3mg tablets""	""Semaglutide""	""3mg""	""Oral tablet""	""Oral""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""76777""",UNKNOWN,true,"31	""Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)""	""Lixisenatide""	""100unit/1ml + 50microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin""	""Lixisenatide""",
"""63401""",UNKNOWN,true,"38366	""Trulicity 0.75mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)""	""Dulaglutide""	""1.5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""",
"""75987""",UNKNOWN,true,"38429	""Semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable devices""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""90187""",UNKNOWN,true,"2841	""Mounjaro KwikPen 10mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)""	""Tirzepatide""	""16.667mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
