code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Psychotropic""	""group""",
"""286941000033115""",UNKNOWN,true,"""Clopixol 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Zuclopenthixol""	""10.000mg""	NA	""Zuclopenthixol""	""Antipsychotics""",
"""287041000033119""",UNKNOWN,true,"""Clopixol 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Zuclopenthixol""	""2.000mg""	NA	""Zuclopenthixol""	""Antipsychotics""",
"""287141000033115""",UNKNOWN,true,"""Clopixol 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Zuclopenthixol""	""25.000mg""	NA	""Zuclopenthixol""	""Antipsychotics""",
"""287541000033112""",UNKNOWN,true,"""Clozapine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clozapine""	""100.000mg""	""04020100""	""Clozapine""	""Antipsychotics""",
"""287641000033113""",UNKNOWN,true,"""Clozapine 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clozapine""	""25.000mg""	""04020100""	""Clozapine""	""Antipsychotics""",
"""325841000033119""",UNKNOWN,true,"""Convulex 150mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""150.000mg""	NA	""Valproic""	""Mood Stabilisers""",
"""325941000033110""",UNKNOWN,true,"""Convulex 300mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""300.000mg""	NA	""Valproic""	""Mood Stabilisers""",
"""326041000033117""",UNKNOWN,true,"""Convulex 500mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""500.000mg""	NA	""Valproic""	""Mood Stabilisers""",
"""419941000033113""",UNKNOWN,true,"""Depixol Low Volume 200mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""200.000mg/1.000ml""	NA	""Flupentixol""	""Antipsychotics""",
"""420041000033111""",UNKNOWN,true,"""Depixol  Injection  200 mg/10 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""	""Antipsychotics""",
"""420141000033110""",UNKNOWN,true,"""Depixol 40mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""20.000mg/1.000ml""	NA	""Flupentixol""	""Antipsychotics""",
"""420241000033115""",UNKNOWN,true,"""Depixol  Injection (syringe)  20 mg/1 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""	""Antipsychotics""",
"""420341000033113""",UNKNOWN,true,"""Depixol  Injection (syringe)  40 mg/2 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""	""Antipsychotics""",
"""420441000033119""",UNKNOWN,true,"""Depixol Conc 50mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""100.000mg/1.000ml""	NA	""Flupentixol""	""Antipsychotics""",
"""420541000033118""",UNKNOWN,true,"""Depixol Conc.  Injection  500 mg/5 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""	""Antipsychotics""",
"""422941000033113""",UNKNOWN,true,"""Depixol 20mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""20.000mg/1.000ml""	NA	""Flupentixol""	""Antipsychotics""",
"""423041000033115""",UNKNOWN,true,"""Depixol Conc 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""100.000mg/1.000ml""	NA	""Flupentixol""	""Antipsychotics""",
"""431741000033118""",UNKNOWN,true,"""Depixol 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Flupentixol""	""3.000mg""	NA	""Flupentixol""	""Antipsychotics""",
"""472141000033110""",UNKNOWN,true,"""Dothapax 25 capsules""	""Capsule/ Oral capsule""	""Oral""	""Dosulepin""	""25.000mg""	NA	""Dosulepin""	""Antidepressants""",
"""473041000033119""",UNKNOWN,true,"""Doxepin 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Doxepin""	""10.000mg""	""04030100""	""Doxepin""	""Antidepressants""",
"""473141000033115""",UNKNOWN,true,"""Doxepin 25mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Doxepin""	""25.000mg""	""04030100""	""Doxepin""	""Antidepressants""",
"""473241000033110""",UNKNOWN,true,"""Doxepin 50mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Doxepin""	""50.000mg""	""04030100""	""Doxepin""	""Antidepressants""",
