"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"anticoagulants"
"46278"	1574	"Heparin sodium 200units/2ml patency solution ampoules"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"73309"	385	"Arovi 40mg/0.4ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"60589"	103	"Warfarin 500microgram tablets (Accord-UK Ltd)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"59761"	0	"Heparin sodium 1,000units/1ml solution for injection ampoules (C P Pharmaceuticals Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"31541"	4	"Heparin calcium 12,500units/0.5ml solution for injection pre-filled syringes"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Unknown"	"Heparin"
"61949"	101	"Fondaparinux sodium 10mg/0.8ml solution for injection pre-filled syringes"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Fondaparinux"
"32575"	1	"Bemiparin sodium 7,500units/0.3ml solution for injection pre-filled syringes"	"Bemiparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Unknown"	"Bemiparin"
"83490"	0	"Warfarin 3mg tablets (Zentiva Pharma UK Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"14308"	12926	"Tinzaparin sodium 18,000units/0.9ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"58519"	0	"Warfarin 1mg tablets (DE Pharmaceuticals)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"83342"	0	"Warfarin 5mg tablets (Crescent Pharma Ltd)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"59400"	28	"Warfarin 500microgram tablets (Sigma Pharmaceuticals Plc)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
