"medcodeid"	"TermRead"	"TermSNOMED"	"TermEMIS"	"SNOMED"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"Observations"
"1975281000006115"	"Post-schizophrenic depression, incomplete remission"	NA	NA	NA	"EMISICD10|F2044"	NA	"other psychosis"	1
"1975301000006116"	"Post-schizophrenic depression, complete remission"	NA	NA	NA	"EMISICD10|F2045"	NA	"other psychosis"	2
"1975321000006114"	"Post-schizophrenic depression, course uncertain, period of observation too short"	NA	NA	NA	"EMISICD10|F2049"	NA	"other psychosis"	1
"1975351000006117"	"Residual schizophrenia, continuous"	NA	NA	NA	"EMISICD10|F2050"	NA	"schizophrenia"	1
"1975381000006113"	"Residual schizophrenia, episodic with progressive deficit"	NA	NA	NA	"EMISICD10|F2051"	NA	"schizophrenia"	1
"1975401000006113"	"Residual schizophrenia, episodic with stable deficit"	NA	NA	NA	"EMISICD10|F2052"	NA	"schizophrenia"	1
"1975431000006117"	"Residual schizophrenia, episodic remittent"	NA	NA	NA	"EMISICD10|F2053"	NA	"schizophrenia"	1
"1975441000006110"	"Residual schizophrenia, incomplete remission"	"Residual schizophrenia, incomplete remission"	"Residual schizophrenia, incomplete remission"	"1975441000006106"	"EMISICD10|F2054"	NA	"schizophrenia"	4
"1975471000006119"	"Residual schizophrenia, complete remission"	NA	NA	NA	"EMISICD10|F2055"	NA	"schizophrenia"	2
"1975481000006116"	"Residual schizophrenia, course uncertain, period of observation too short"	NA	NA	NA	"EMISICD10|F2059"	NA	"schizophrenia"	1
"1975491000006118"	"Simple schizophrenia, continuous"	NA	NA	NA	"EMISICD10|F2060"	NA	"schizophrenia"	1
"1975501000006114"	"Simple schizophrenia, episodic with progressive deficit"	NA	NA	NA	"EMISICD10|F2061"	NA	"schizophrenia"	1
"1975521000006116"	"Simple schizophrenia, episodic with stable deficit"	NA	NA	NA	"EMISICD10|F2062"	NA	"schizophrenia"	2
"1975551000006113"	"Simple schizophrenia, episodic remittent"	NA	NA	NA	"EMISICD10|F2063"	NA	"schizophrenia"	1
"1975571000006115"	"Simple schizophrenia, incomplete remission"	NA	NA	NA	"EMISICD10|F2064"	NA	"schizophrenia"	1
"1975601000006110"	"Simple schizophrenia, complete remission"	"Simple schizophrenia, complete remission"	"Simple schizophrenia, complete remission"	"1975601000006106"	"EMISICD10|F2065"	NA	"schizophrenia"	3
"1975621000006117"	"Acute polymorphic psychot disord without symp of schizoph, without associated acute stress"	NA	NA	NA	"EMISICD10|F2300"	NA	"other psychosis"	6
"1975641000006112"	"Simple schizophrenia, course uncertain, period of observation too short"	NA	NA	NA	"EMISICD10|F2069"	NA	"schizophrenia"	1
"1975671000006116"	"Acute polymorphic psychot disord without symp of schizoph, with associated acute stress"	NA	NA	NA	"EMISICD10|F2301"	NA	"other psychosis"	2
"1975681000006118"	"Acute polymorphic psychot disord with symp of schizophren, without associated acute stress"	NA	NA	NA	"EMISICD10|F2310"	NA	"other psychosis"	5
"1975691000006115"	"Acute polymorphic psychot disord with symp of schizophren, with associated acute stress"	NA	NA	NA	"EMISICD10|F2311"	NA	"other psychosis"	16
"1975711000006117"	"Acute schizophrenia-like psychotic disorder, without associated acute stress"	NA	NA	NA	"EMISICD10|F2320"	NA	"other psychosis"	13
"1975731000006111"	"Acute schizophrenia-like psychotic disorder, with associated acute stress"	NA	NA	NA	"EMISICD10|F2321"	NA	"other psychosis"	62
"1975751000006116"	"Other schizophrenia, continuous"	NA	NA	NA	"EMISICD10|F2080"	NA	"schizophrenia"	1
"1975761000006119"	"Other acute predominantly delusional psychotic disorders, without associated acute stress"	NA	NA	NA	"EMISICD10|F2330"	NA	"other psychosis"	15
"1975771000006114"	"Other schizophrenia, episodic with progressive deficit"	NA	NA	NA	"EMISICD10|F2081"	NA	"schizophrenia"	1
"1975781000006112"	"Other acute predominantly delusional psychotic disorders, with associated acute stress"	NA	NA	NA	"EMISICD10|F2331"	NA	"other psychosis"	9
"1975801000006111"	"Other schizophrenia, episodic with stable deficit"	NA	NA	NA	"EMISICD10|F2082"	NA	"schizophrenia"	1
"1975821000006118"	"Other acute and transient psychotic disorders, without associated acute stress"	NA	NA	NA	"EMISICD10|F2380"	NA	"other psychosis"	34
"1975831000006115"	"Other schizophrenia, episodic remittent"	NA	NA	NA	"EMISICD10|F2083"	NA	"schizophrenia"	3
"1975841000006113"	"Other schizophrenia, incomplete remission"	NA	NA	NA	"EMISICD10|F2084"	NA	"schizophrenia"	7
"1975851000006110"	"Other acute and transient psychotic disorders, with associated acute stress"	NA	"Other acute and transient psychotic disorders, with associated acute stress"	NA	"EMISICD10|F2381"	NA	"other psychosis"	120
"1975871000006117"	"Acute and transient psychotic disorder, unspecified, without associated acute stress"	NA	NA	NA	"EMISICD10|F2390"	NA	"other psychosis"	209
"1975881000006119"	"Other schizophrenia, complete remission"	NA	NA	NA	"EMISICD10|F2085"	NA	"schizophrenia"	8
"1975901000006117"	"Acute and transient psychotic disorder, unspecified, with associated acute stress"	NA	NA	NA	"EMISICD10|F2391"	NA	"other psychosis"	336
"1975911000006119"	"Other schizophrenia, course uncertain, period of observation too short"	NA	NA	NA	"EMISICD10|F2089"	NA	"schizophrenia"	1
"1975931000006113"	"Bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome"	NA	NA	NA	"EMISICD10|F3130"	NA	"bipolar"	23
"1975941000006115"	"Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome"	NA	NA	NA	"EMISICD10|F3131"	NA	"bipolar"	6
"1976001000006113"	"Schizophrenia, unspecified, continuous"	NA	NA	NA	"EMISICD10|F2090"	NA	"schizophrenia"	3
"1976061000006114"	"Schizophrenia, unspecified, episodic with progressive deficit"	NA	NA	NA	"EMISICD10|F2091"	NA	"schizophrenia"	1
"1976101000006112"	"Schizophrenia, unspecified, episodic with stable deficit"	NA	NA	NA	"EMISICD10|F2092"	NA	"schizophrenia"	1
"1976121000006119"	"Schizophrenia, unspecified, episodic remittent"	NA	NA	NA	"EMISICD10|F2093"	NA	"schizophrenia"	1
"1976141000006114"	"Schizophrenia, unspecified, incomplete remission"	NA	NA	NA	"EMISICD10|F2094"	NA	"schizophrenia"	1
"1976151000006111"	"Schizophrenia, unspecified, complete remission"	NA	NA	NA	"EMISICD10|F2095"	NA	"schizophrenia"	4
"1976171000006118"	"Schizophrenia, unspecified, course uncertain, period of observation too short"	NA	NA	NA	"EMISICD10|F2099"	NA	"schizophrenia"	1
"1976371000006116"	"Other single mood affective disorders, mixed affective episode"	NA	NA	NA	"EMISICD10|F3800"	NA	"other psychosis"	134
"1976881000006112"	"Paranoid schizophrenia, other"	NA	NA	NA	"EMISICD10|F2008"	NA	"schizophrenia"	27
"1976891000006110"	"Hebephrenic schizophrenia, other"	"Hebephrenic schizophrenia, other"	"Hebephrenic schizophrenia, other"	"1976891000006106"	"EMISICD10|F2018"	NA	"schizophrenia"	66
"1976901000006114"	"Catatonic schizophrenia, other"	NA	NA	NA	"EMISICD10|F2028"	NA	"schizophrenia"	12
"1976911000006112"	"Undifferentiated schizophrenia, other"	NA	NA	NA	"EMISICD10|F2038"	NA	"schizophrenia"	6
"1976921000006116"	"Post-schizophrenic depression, other"	NA	NA	NA	"EMISICD10|F2048"	NA	"other psychosis"	8
"1976931000006118"	"Residual schizophrenia, other"	NA	NA	NA	"EMISICD10|F2058"	NA	"schizophrenia"	5
"1976941000006111"	"Simple schizophrenia, other"	NA	NA	NA	"EMISICD10|F2068"	NA	"schizophrenia"	1
"1976951000006113"	"Other schizophrenia, other"	NA	NA	NA	"EMISICD10|F2088"	NA	"schizophrenia"	11
"1976961000006110"	"Schizophrenia, unspecified, other"	"Schizophrenia, unspecified, other"	"Schizophrenia, unspecified, other"	"1976961000006106"	"EMISICD10|F2098"	NA	"schizophrenia"	79
"2501991000006111"	"Paranoid reaction"	"Delusion of persecution (finding)"	NA	"216004"	"^ESCTPA250199"	NA	"other psychosis"	13
"2502001000006113"	"Persecutory delusion"	"Delusion of persecution (finding)"	NA	"216004"	"^ESCTPE250200"	NA	"other psychosis"	35
"2531671000006114"	"Delusional thoughts"	"Delusions (finding)"	NA	"2073000"	"^ESCTDE253167"	NA	"other psychosis"	132
"2531681000006112"	"Delusional ideas"	"Delusions (finding)"	NA	"2073000"	"^ESCTDE253168"	NA	"other psychosis"	89
"2586801000006115"	"Brief psychotic disorder"	"Brief psychotic disorder"	"Brief psychotic disorder"	"5464005"	"^ESCTBR258680"	NA	"other psychosis"	18
"2632941000006110"	"Delusion of infidelity"	"Delusion of infidelity (finding)"	NA	"8330006"	"^ESCTDE263294"	NA	"other psychosis"	14
"2632951000006112"	"Delusional jealousy"	NA	NA	NA	"^ESCTDE263295"	NA	"other psychosis"	3
"2717981000006118"	"MDI - Manic-depressive illness"	"MDI - Manic-depressive illness"	"MDI - Manic-depressive illness"	"13746004"	"^ESCTMD271798"	NA	"bipolar"	3
"2729641000006117"	"Severe bipolar I disorder, single manic episode without psychotic features"	NA	NA	NA	"^ESCTSE272964"	NA	"bipolar"	1
