"prodcodeid"	"term"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"concat"	"match"	"Antihypertensives"
"11807841000033119"	"Benph 5mg tablets (Viatris UK Healthcare Ltd)"	"Benph 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Terazosin"	"5.000mg"	NA	"benph 5mg tablets benph 5mg tablets  viatris uk healthcare ltd  terazosin hydrochloride"	1	"Terazosin"
"12106941000033117"	"Clonidine 100micrograms/24hours transdermal patches"	"Clonidine 100micrograms/24hours transdermal patches"	"Transdermal patch"	"Transdermal"	"Clonidine"	"100.000microgram/24.000hour"	"02050200"	"clonidine 100micrograms 24hours transdermal patches clonidine 100micrograms 24hours transdermal patches clonidine"	1	"Clonidine"
"12107041000033116"	"Clonidine 300micrograms/24hours transdermal patches"	"Clonidine 300micrograms/24hours transdermal patches"	"Transdermal patch"	"Transdermal"	"Clonidine"	"300.000microgram/24.000hour"	"02050200"	"clonidine 300micrograms 24hours transdermal patches clonidine 300micrograms 24hours transdermal patches clonidine"	1	"Clonidine"
"12107141000033117"	"Catapres TTS 1 patches (Imported (Germany))"	"Catapres TTS 1 patches"	"Transdermal patch"	NA	"Clonidine"	"100.000microgram/24.000hour"	NA	"catapres tts 1 patches catapres tts 1 patches  imported  germany   clonidine"	1	"Clonidine"
"12117941000033118"	"Catapres TTS 2 patches (Imported (Germany))"	"Catapres TTS 2 patches"	"Transdermal patch"	NA	"Clonidine"	"200.000microgram/24.000hour"	NA	"catapres tts 2 patches catapres tts 2 patches  imported  germany   clonidine"	1	"Clonidine"
"12118541000033113"	"Catapres TTS 3 patches (Imported (Germany))"	"Catapres TTS 3 patches"	"Transdermal patch"	NA	"Clonidine"	"300.000microgram/24.000hour"	NA	"catapres tts 3 patches catapres tts 3 patches  imported  germany   clonidine"	1	"Clonidine"
"12204741000033114"	"Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops preservative free"	"Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops preservative free"	"Eye drops"	"Ocular"	"Timolol"	"20.000mg/1.000ml + 5.000mg/1.000ml"	"11060000"	"dorzolamide 20mg ml   timolol 5mg ml eye drops preservative free dorzolamide 20mg ml   timolol 5mg ml eye drops preservative free dorzolamide hydrochloride  timolol maleate"	1	"Timolol"
"12205041000033112"	"Eylamdo 20mg/ml / 5mg/ml eye drops (Aspire Pharma Ltd)"	"Eylamdo 20mg/ml / 5mg/ml eye drops"	"Eye drops"	"Ocular"	"Timolol"	"20.000mg/1.000ml + 5.000mg/1.000ml"	NA	"eylamdo 20mg ml   5mg ml eye drops eylamdo 20mg ml   5mg ml eye drops  aspire pharma ltd  dorzolamide hydrochloride  timolol maleate"	1	"Timolol"
"12207441000033110"	"Timolol 5mg/ml eye drops preservative free"	"Timolol 5mg/ml eye drops preservative free"	"Eye drops"	"Ocular"	"Timolol"	"5.000mg/1.000ml"	"11060000"	"timolol 5mg ml eye drops preservative free timolol 5mg ml eye drops preservative free timolol maleate"	1	"Timolol"
"12207741000033115"	"Eysano 2.5mg/ml eye drops (Aspire Pharma Ltd)"	"Eysano 2.5mg/ml eye drops"	"Eye drops"	"Ocular"	"Timolol"	"2.500mg/1.000ml"	NA	"eysano 2 5mg ml eye drops eysano 2 5mg ml eye drops  aspire pharma ltd  timolol maleate"	1	"Timolol"
"12207841000033113"	"Eysano 5mg/ml eye drops (Aspire Pharma Ltd)"	"Eysano 5mg/ml eye drops"	"Eye drops"	"Ocular"	"Timolol"	"5.000mg/1.000ml"	NA	"eysano 5mg ml eye drops eysano 5mg ml eye drops  aspire pharma ltd  timolol maleate"	1	"Timolol"
"12312641000033118"	"Alkapamid XL 1.5mg tablets (HBS Healthcare Ltd)"	"Alkapamid XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	NA	"alkapamid xl 1 5mg tablets alkapamid xl 1 5mg tablets  hbs healthcare ltd  indapamide"	1	"Indapamide"
"12372341000033117"	"Nidef 30mg modified-release tablets (Morningside Healthcare Ltd)"	"Nidef 30mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	NA	"nidef 30mg modified release tablets nidef 30mg modified release tablets  morningside healthcare ltd  nifedipine"	1	"Nifedipine"
"12372441000033111"	"Nidef 60mg modified-release tablets (Morningside Healthcare Ltd)"	"Nidef 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	NA	"nidef 60mg modified release tablets nidef 60mg modified release tablets  morningside healthcare ltd  nifedipine"	1	"Nifedipine"
"12427241000033119"	"Stayveer 125mg tablets (Advanz Pharma)"	"Stayveer 125mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Bosentan"	"125.000mg"	NA	"stayveer 125mg tablets stayveer 125mg tablets  advanz pharma  bosentan monohydrate"	1	"Bosentan"
"12443741000033115"	"Iloprost 20micrograms/1ml nebuliser liquid ampoules"	"Iloprost 20micrograms/1ml nebuliser liquid ampoules"	"Nebuliser liquid"	"Inhalation"	"Iloprost"	"20.000microgram/1.000ml"	"02050100"	"iloprost 20micrograms 1ml nebuliser liquid ampoules iloprost 20micrograms 1ml nebuliser liquid ampoules iloprost trometamol"	1	"Iloprost"
"12569041000033115"	"Clonidine 100micrograms/5ml oral suspension"	"Clonidine 100micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"Clonidine"	"20.000microgram/1.000ml"	"04070402"	"clonidine 100micrograms 5ml oral suspension clonidine 100micrograms 5ml oral suspension clonidine hydrochloride"	1	"Clonidine"
"12667441000033111"	"Medox 50micrograms/ml / 5mg/ml eye drops (Medicom Healthcare Ltd)"	"Medox 50micrograms/ml / 5mg/ml eye drops"	"Eye drops"	"Ocular"	"Timolol"	"50.000microgram/1.000ml + 5.000mg/1.000ml"	NA	"medox 50micrograms ml   5mg ml eye drops medox 50micrograms ml   5mg ml eye drops  medicom healthcare ltd  latanoprost  timolol maleate"	1	"Timolol"
"12682141000033115"	"Doxazosin 8mg tablets"	"Doxazosin 8mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Doxazosin"	"8.000mg"	"02050400"	"doxazosin 8mg tablets doxazosin 8mg tablets doxazosin mesilate"	1	"Doxazosin"
"12682241000033110"	"Amlodipine 5mg/5ml oral suspension sugar free"	"Amlodipine 5mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Amlodipine"	"1.000mg/1.000ml"	"02060200"	"amlodipine 5mg 5ml oral suspension sugar free amlodipine 5mg 5ml oral suspension sugar free amlodipine"	1	"Amlodipine"
