"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"67521"	4	"Aspirin 15mg/5ml oral suspension"	"Aspirin"	"3mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs"	"Aspirin"
"8645"	507	"Aspirin 300mg effervescent tablets"	"Aspirin"	"300mg"	"Tablets"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"91908"	2	"Aspirin 75mg/5ml oral solution"	"Aspirin"	"15mg/1ml"	"Oral solution"	"Oral"	"Antiplatelet Products"	"Aspirin"
"34485"	926	"Aspirin 75mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"69216"	2	"Dipyridamole 200mg modified-release / Aspirin 25mg capsules (A A H Pharmaceuticals Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Aspirin/Dipyridamole"
"645"	799	"Aspirin 300mg suppositories"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"19724"	87	"ASPIRIN & CODEINE paed 75 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"80356"	0	"Boots Aspirin 75mg gastro-resistant tablets (The Boots Company Plc)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"53325"	0	"Salicylates with menthol and camphor liniment"	"Aspirin"	NA	"Solution for injection"	"Intramuscular"	"Topical Nsaids And Counter Irritants"	"Aspirin"
"12992"	1759	"Aspirin 500mg / Codeine 8mg dispersible tablets sugar free"	"Aspirin"	"500mg + 8mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
