"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"36172"	"Paranoid schizophrenia in remission"	"E1035"	"E103500"	"schizophrenia"	545	0	0	0	"February 2009"
"576"	"Acute schizophrenic episode"	"E104"	"E104.00"	"schizophrenia"	1559	0	84	0	"February 2009"
"3702"	"Bipolar affective disorder, currently manic"	"E114"	"E114.00"	"bipolar"	771	0	48	0	"February 2009"
"41989"	"[X]Single episode agitated depressn w'out psychotic symptoms"	NA	"Eu32211"	"other psychosis"	194	0	2	0	"February 2009"
"72026"	"Bipolar affect disord, now depressed, part/unspec remission"	"E1155"	"E115500"	"bipolar"	10	0	0	0	"February 2009"
"14656"	"Affective psychoses"	NA	"E11..00"	"other psychosis"	6780	0	251	0	"February 2009"
"24107"	"[X]Chronic undifferentiated schizophrenia"	"Eu205-1"	"Eu20511"	"schizophrenia"	713	0	23	0	"February 2009"
"63284"	"Mixed bipolar affective disorder, severe, without psychosis"	"E1163"	"E116300"	"bipolar"	31	0	0	0	"February 2009"
"20785"	"[X]Post-schizophrenic depression"	"Eu204"	"Eu20400"	"schizophrenia"	69	0	0	0	"February 2009"
"99000"	"Cyclic schizophrenia"	"E107-1"	"E107.11"	"schizophrenia"	1	0	0	0	"April 2010"
"60013"	"[X]Undifferentiated schizophrenia"	"Eu203"	"Eu20300"	"schizophrenia"	77	0	0	0	"February 2009"
