"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Anticoagulants"
"2041741000033113"	"Enoxaparin sodium 120mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"150.000mg/1.000ml"	"02080100"	"Enoxaparin"
"2041941000033111"	"Enoxaparin sodium 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"150.000mg/1.000ml"	"02080100"	"Enoxaparin"
"2042141000033118"	"Clexane  Injection  120 mg/0.8 ml pre-filled syringe"	"Solution for injection"	"Intramuscular"	"Enoxaparin"	NA	NA	"Enoxaparin"
"2042241000033113"	"Clexane  Injection  150 mg/1 ml pre-filled syringe"	"Solution for injection"	"Intramuscular"	"Enoxaparin"	NA	NA	"Enoxaparin"
"2149041000033116"	"Tinzaparin sodium 2,500units/0.25ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"2149141000033117"	"Innohep 2,500units/0.25ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	NA	"Tinzaparin"
"2279741000033116"	"Epoprostenol  Powder And Solvent For Solution For Infusion  1.5 mg vial"	"Powder"	"Oral"	"Epoprostenol"	NA	NA	"Epoprostenol"
"2279841000033114"	"Flolan  Powder And Solvent For Solution For Infusion  1.5 mg vial"	"Powder"	"Oral"	"Epoprostenol"	NA	NA	"Epoprostenol"
"2620141000033114"	"Warfarin 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Warfarin"	"1.000mg/1.000ml"	"02080200"	"Warfarin"
"2639041000033119"	"Warfarin 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Warfarin"	"2.000mg/1.000ml"	"02080200"	"Warfarin"
"2640341000033110"	"Fragmin 7,500units/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Dalteparin"
"2640441000033116"	"Dalteparin sodium 7,500units/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Dalteparin"
"2729541000033119"	"Fondaparinux sodium 2.5mg/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Fondaparinux"	"5.000mg/1.000ml"	"02080100"	"Fondaparinux"
"2729641000033118"	"Arixtra 2.5mg/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Fondaparinux"	"5.000mg/1.000ml"	NA	"Fondaparinux"
"2732541000033114"	"Clexane Forte 120mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Enoxaparin"	"150.000mg/1.000ml"	NA	"Enoxaparin"
"2732641000033110"	"Clexane Forte 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Enoxaparin"	"150.000mg/1.000ml"	NA	"Enoxaparin"
"2908841000033111"	"Heparin sodium 5,000units/0.2ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Heparin"
"2908941000033115"	"Heparin sodium 1,000units/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Heparin"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"02080100"	"Heparin"
"3012841000033113"	"Bemiparin sodium 2,500units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Bemiparin"	"12500.000unit/1.000ml + 12500.000unit/1.000ml"	"02080100"	"Bemiparin"
"3012941000033117"	"Bemiparin sodium 3,500units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Bemiparin"	"17500.000unit/1.000ml + 17500.000unit/1.000ml"	"02080100"	"Bemiparin"
"3013141000033114"	"Bemiparin sodium 7,500units/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Bemiparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Bemiparin"
"3013241000033119"	"Bemiparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Bemiparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Bemiparin"
"3013341000033112"	"Zibor 2,500units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Bemiparin"	"12500.000unit/1.000ml + 12500.000unit/1.000ml"	NA	"Bemiparin"
"3097541000033112"	"Acenocoumarol 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acenocoumarol"	"1.000mg"	"02080200"	"Acenocoumarol"
"3280441000033116"	"Fondaparinux sodium 5mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux"	"12.500mg/1.000ml"	"02080100"	"Fondaparinux"
"3280541000033115"	"Fondaparinux sodium 7.5mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux"	"12.500mg/1.000ml"	"02080100"	"Fondaparinux"
"3280641000033119"	"Fondaparinux sodium 10mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux"	"12.500mg/1.000ml"	"02080100"	"Fondaparinux"
"3280741000033111"	"Arixtra 5mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux"	"12.500mg/1.000ml"	NA	"Fondaparinux"
"3280841000033118"	"Arixtra 7.5mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux"	"12.500mg/1.000ml"	NA	"Fondaparinux"
"3280941000033114"	"Arixtra 10mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux"	"12.500mg/1.000ml"	NA	"Fondaparinux"
"4152441000033114"	"Heparin sodium 5,000units/5ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Heparin"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"02080100"	"Heparin"
"4152541000033110"	"Heparin sodium 10,000units/10ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Heparin"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"02080100"	"Heparin"
"4152641000033111"	"Heparin sodium 20,000units/20ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Heparin"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"02080100"	"Heparin"
"4153141000033113"	"Enoxaparin sodium 300mg/3ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	"02080100"	"Enoxaparin"
"4153241000033118"	"Clexane 300mg/3ml solution for injection multidose vials"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"4259941000033110"	"Heparin sodium 200units/2ml patency solution ampoules"	"Not applicable"	"Route of administration not applicable"	"Heparin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"02080100"	"Heparin"
