"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"Antidiabetic"	"group"	"database"
"14301"	"Insulin detemir 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"56965"	"Komboglyze 2.5mg/1000mg tablets (AstraZeneca UK Ltd)"	"Oral tablet"	"Oral"	"Saxagliptin/Metformin"	"1gram + 2.5mg"	"Saxagliptin/Metformin"	"DPP-4is, Metformin"	"Gold"
"83130"	"Dulaglutide 3mg/0.5ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Dulaglutide"	"6mg/1ml"	"Dulaglutide"	"GLP-1RAs"	"Gold"
"28666"	"Omnican 50 hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (B.Braun Medical Ltd)"	"Insulin Syringe With 8Mm Needle(30G)"	NA	"Insulin"	"0.5ml/U100"	"Insulin"	"Insulin"	"Gold"
"15955"	"Starlix 120mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Nateglinide"	"120mg"	"Nateglinide"	"Other"	"Gold"
"7861"	"INSULIN HUMULIN S (NEUTRAL) CARTRIDGE 100 I/U"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"60430"	"Invokana 100mg tablets (A. Menarini Farmaceutica Internazionale SRL)"	"Oral tablet"	"Oral"	"Canagliflozin"	"100mg"	"Canagliflozin"	"SGLT-2is"	"Gold"
"48533"	"Sitagliptin 25mg tablets"	"Oral tablet"	"Oral"	"Sitagliptin"	"25mg"	"Sitagliptin"	"DPP-4is"	"Gold"
"35057"	"OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi)"	"Insulin Pen"	NA	"Insulin"	"3ml/1-80 units"	"Insulin"	"Insulin"	"Gold"
"5059"	"NovoPen 3 Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units (Novo Nordisk Ltd)"	"Insulin Pen"	NA	"Insulin"	"3ml/2-70 units"	"Insulin"	"Insulin"	"Gold"
