"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"	"period"
"103877"	"L361200"	2	0	0	0	"other immediate postpartum haemorrhage with postnatal prob"	"March 2012"	"postnatal"
"33773"	"7F19y00"	789	0	6	0	"other specified normal delivery"	"February 2009"	"postnatal"
"53167"	"L188300"	38	0	0	0	"abnormal gtt during pregnancy - baby not yet delivered"	"February 2009"	"unspecified"
"109697"	"6556.00"	17225	73577	1	1	"pertussis vaccination in pregnancy"	"June 2015"	"unspecified"
"85961"	"44Cy.00"	8	0	0	9506	"serum pregnancy associated plasma protein-a mom measurement"	"February 2009"	"unspecified"
"17893"	"62Q..00"	5830	0	18	0	"postnatal care provider"	"February 2009"	"postnatal"
"22385"	"Z22C300"	1235	0	1	2	"length of gestation"	"February 2009"	"unspecified"
"12012"	"L36..11"	1044	0	40	0	"bleeding postpartum"	"February 2009"	"postnatal"
"100833"	"L244200"	4	0	0	0	"other uterine/pelvic floor abn - delivered+postpartum compl"	"November 2010"	"postnatal"
"72183"	"L246200"	1	0	1	0	"other cervical abnormality - baby delivered+postpartum compl"	"February 2009"	"postnatal"
"64247"	"Z235.00"	27	0	1	0	"observation of shape of pregnant abdomen"	"February 2009"	"early pregnancy"
"16320"	"L11z100"	110	0	4	0	"antepartum haemorrhage nos - delivered"	"February 2009"	"late pregnancy"
"20307"	"L091.00"	374	0	104	0	"delayed/excessive haemorrhage following abortive pregnancy"	"February 2009"	"unspecified"
"37163"	"L150z00"	3	0	1	0	"post-term pregnancy nos"	"February 2009"	"late pregnancy"
"94473"	"L211z00"	5	0	0	0	"triplet pregnancy nos"	"February 2009"	"unspecified"
"47508"	"7F1A.00"	222	0	0	0	"other methods of delivery"	"February 2009"	"postnatal"
"30775"	"62B8.00"	4086	0	78	0	"midwife unit delivery booking"	"February 2009"	"postnatal"
"114794"	"L352100"	1	0	0	0	"obstetric inversion of uterus - delivered with p/n problem"	"April 2020"	"unspecified"
"61552"	"L360000"	27	0	0	0	"third-stage postpartum haemorrhage unspecified"	"February 2009"	"postnatal"
"101334"	"8HQ2000"	127	0	429	0	"referral for obstetric ultrasound scan"	"January 2011"	"unspecified"
"47373"	"L411612"	16	0	1	0	"vaginal varices in the puerperium"	"February 2009"	"postnatal"
"16250"	"L414.12"	22	0	4	2	"phlegmasia alba dolens - obstetric"	"February 2009"	"unspecified"
"18830"	"L414.11"	441	0	8	0	"dvt - deep venous thrombosis, postnatal"	"February 2009"	"postnatal"
"74888"	"Lyu3B00"	3	0	0	0	"[x]other disorders of amniotic fluid and membranes"	"February 2009"	"late pregnancy"
"47489"	"Z22A800"	57	0	2	0	"undiagnosed pregnancy"	"February 2009"	"unspecified"
"104705"	"8CL4.00"	350	0	5	3	"discussion about ectopic pregnancy risk"	"August 2012"	"unspecified"
"106481"	"L113100"	6	0	0	0	"antepartum haemorrhage with coagulation defect - delivered"	"August 2013"	"late pregnancy"
"65395"	"K181.11"	1	0	0	0	"postobstetric urethral stricture"	"February 2009"	"unspecified"
"6452"	"L395.00"	142116	0	163	0	"forceps delivery"	"February 2009"	"postnatal"
"14085"	"62GB.00"	16	0	3	1204	"antenatal ultrasounds scan at 4-8 weeks"	"February 2009"	"8"
"1668"	"L182500"	16971	0	72	18	"iron deficiency anaemia of pregnancy"	"February 2009"	"unspecified"
"49269"	"L432.00"	3	0	0	0	"obstetric blood-clot pulmonary embolism"	"February 2009"	"unspecified"
"61576"	"L211000"	3	0	0	0	"triplet pregnancy unspecified"	"February 2009"	"unspecified"
"28446"	"Lz...00"	2069	0	8	0	"complications of pregnancy,childbirth and the puerperium nos"	"February 2009"	"postnatal"
"239"	"L20..11"	828008	0	3959	0	"spontaneous vaginal delivery"	"February 2009"	"postnatal"
"25501"	"Z22A100"	85	0	3	0	"low risk pregnancy"	"February 2009"	"unspecified"
"54127"	"Z255.00"	1	0	0	0	"observation of second stage of labour"	"February 2009"	"postnatal"
"95858"	"L34y100"	2	0	0	0	"other vulval/perineal trauma during delivery- delivered"	"February 2009"	"postnatal"
"113992"	"Z255G00"	1	0	0	0	"urge to push in labour"	"July 2019"	"postnatal"
"96415"	"L111000"	20	0	0	0	"placenta praevia with haemorrhage unspecified"	"April 2009"	"late pregnancy"
"111572"	"L29y100"	1	0	0	0	"other problems affecting labour - delivered"	"December 2016"	"postnatal"
"47155"	"Q12..00"	32	0	0	0	"disorders relating to long gestation and high birthweight"	"February 2009"	"unspecified"
"42326"	"62KZ.00"	127	0	0	460	"antenatal syphilis screen nos"	"February 2009"	"early pregnancy"
"90294"	"Z262B00"	4	0	1	0	"lesion of placenta"	"February 2009"	"late pregnancy"
"18930"	"ZV7y400"	23	0	1	1	"[v]postnatal screening for chromosomal anomalies"	"February 2009"	"postnatal"
"112710"	"L432z00"	3	0	0	0	"obstetric blood-clot pulmonary embolism nos"	"May 2018"	"unspecified"
"47153"	"Z264500"	20	0	0	0	"reduced amniotic fluid"	"February 2009"	"late pregnancy"
"105592"	"4445100"	1	0	0	0	"placental function test abnormal"	"January 2013"	"late pregnancy"
"100068"	"7F08000"	3	0	0	0	"percutan laser ablation placental arterio-venous anastomosis"	"July 2010"	"late pregnancy"
"114257"	"L350100"	2	0	0	0	"rupture of uterus before labour - delivered"	"November 2019"	"postnatal"
"18536"	"62b..00"	3730	0	1	6007	"antenatal hiv screening"	"February 2009"	"early pregnancy"
"18702"	"6G00.00"	3428	0	166	0	"postnatal depression counselling"	"February 2009"	"postnatal"
"40633"	"Z22A600"	64	0	4	0	"teenage pregnancy"	"February 2009"	"unspecified"
"116367"	"Z255100"	1	0	0	0	"second stage of labour established"	"August 2023"	"postnatal"
"19602"	"L341000"	641	0	0	0	"second degree perineal tear during delivery, unspecified"	"February 2009"	"postnatal"
"52669"	"Q031200"	9	0	0	0	"fetus/neonate affect persistent occip-posterior - labour/del"	"February 2009"	"postnatal"
"29070"	"7F15000"	422	0	2	0	"spontaneous breech delivery"	"February 2009"	"postnatal"
"104440"	"4Q3N.00"	15	0	0	1553	"pregnancy associated plasma protein a level"	"June 2012"	"unspecified"
"45413"	"L263A11"	56	0	5	0	"maternal care for reduced fetal heart rate during pregnancy"	"February 2009"	"unspecified"
"14994"	"6174.00"	2986	0	180	0	"pregnant, sheath failure"	"February 2009"	"early pregnancy"
"67640"	"L440000"	12	0	0	0	"puerperal cerebrovascular disorder unspecified"	"February 2009"	"postnatal"
"5479"	"Q212.00"	236	0	9	2	"liveborn with prelabour fetal distress"	"February 2009"	"postnatal"
"89656"	"L28y100"	1	0	0	0	"other problem of amniotic cavity and membranes - delivered"	"February 2009"	"late pregnancy"
"94991"	"Z262800"	2	0	0	0	"observation of form of placenta"	"February 2009"	"late pregnancy"
"24170"	"L15..00"	42	0	8	0	"prolonged or post-term pregnancy"	"February 2009"	"late pregnancy"
"113916"	"ZV23500"	1	0	0	0	"[v]pregnancy with other poor reproductive history"	"July 2019"	"unspecified"
"27671"	"L400z00"	92	0	0	0	"puerperal endometritis nos"	"February 2009"	"postnatal"
"47036"	"Z288.00"	3	0	1	0	"problem of pelvis for delivery"	"February 2009"	"postnatal"
"27833"	"L13y.00"	124	0	0	0	"other pregnancy vomiting"	"February 2009"	"unspecified"
"63835"	"L247z11"	4	0	0	0	"septate vagina in pregnancy/childbirth/puerperium nos"	"February 2009"	"postnatal"
"109523"	"L307000"	38	0	0	0	"other failed trial of labour unspecified"	"April 2015"	"postnatal"
"19605"	"L341z00"	642	0	0	0	"second degree perineal tear during delivery nos"	"February 2009"	"postnatal"
"99475"	"68b5.00"	20	0	0	0	"antenatal screening result pending"	"May 2010"	"early pregnancy"
"73569"	"L43z.00"	8	0	0	0	"obstetric pulmonary embolism nos"	"February 2009"	"unspecified"
"99136"	"Q021200"	3	0	0	0	"fetus/neonate affected by placental damage-amniocentesis"	"April 2010"	"late pregnancy"
"41626"	"L4y..00"	34	0	0	0	"other specified complications of the puerperium"	"February 2009"	"postnatal"
"7174"	"L43..00"	320	0	6	0	"obstetric pulmonary embolism"	"February 2009"	"unspecified"
"112128"	"L171z00"	1	0	0	0	"maternal gonorrhoea in pregnancy/childbirth/puerperium nos"	"September 2017"	"postnatal"
"38782"	"L265.11"	134	0	1	0	"placental insufficiency"	"February 2009"	"late pregnancy"
"112700"	"L13y100"	1	0	0	0	"other pregnancy vomiting - delivered"	"May 2018"	"unspecified"
"102969"	"Q213200"	12	0	0	0	"liveborn with labour meconium in liquor"	"September 2011"	"postnatal"
"55338"	"L123000"	76	0	3	0	"transient hypertension of pregnancy unspecified"	"February 2009"	"unspecified"
"73394"	"4H23.00"	0	0	0	19	"amniotic fluid -meconium stain"	"February 2009"	"late pregnancy"
"13168"	"62NZ.00"	87629	0	13	1	"antenatal examination nos"	"February 2009"	"early pregnancy"
"57945"	"7F17200"	4	0	0	0	"vacuum delivery before full dilation of cervix"	"February 2009"	"postnatal"
"72022"	"L343000"	33	0	0	0	"fourth degree perineal tear during delivery, unspecified"	"February 2009"	"postnatal"
"116559"	"8HKN.00"	0	0	1	0	"obstetric d.v. requested"	"May 2024"	"unspecified"
"1744"	"L03..00"	65399	0	2373	3	"ectopic pregnancy"	"February 2009"	"unspecified"
"109550"	"L416400"	1	0	0	0	"haemorrhoids in pregnancy and puerperium with p/n comp"	"April 2015"	"postnatal"
"52640"	"4445.00"	5	0	3	2	"placental function test"	"February 2009"	"late pregnancy"
"29076"	"63D5.00"	98	0	1	0	"placental abnormality"	"February 2009"	"late pregnancy"
"99956"	"L168400"	1	0	0	0	"fatigue during pregnancy with postnatal complication"	"June 2010"	"postnatal"
"71314"	"L093.00"	23	0	0	0	"renal failure following abortive pregnancy"	"February 2009"	"unspecified"
"63448"	"Z675.00"	76	0	1	0	"antenatal class"	"February 2009"	"early pregnancy"
"91915"	"7M0f400"	21	0	0	0	"from 9 weeks to <14 weeks gestational age"	"February 2009"	"9"
"33786"	"L443z00"	34	0	4	0	"other complication of obstetric surgical wound nos"	"February 2009"	"unspecified"
"62916"	"L125400"	9	0	0	0	"severe pre-eclampsia with postnatal complication"	"February 2009"	"postnatal"
"112461"	"Q03y500"	4	0	0	0	"fetus or neonate affected by instrumental delivery"	"January 2018"	"postnatal"
"29434"	"63E3.00"	315	0	11	0	"normal labour"	"February 2009"	"postnatal"
"96179"	"L393100"	2	0	0	0	"post-delivery acute renal failure - delivered with p/n prob"	"April 2009"	"postnatal"
"106735"	"9mK0.00"	2900	0	0	0	"pertussis vaccination in pregnancy invitation first letter"	"August 2013"	"unspecified"
"50704"	"Q113.00"	170	0	0	0	"light for gestational age"	"February 2009"	"unspecified"
"32913"	"Z28..00"	14	0	2	0	"obstetric pelvic observation"	"February 2009"	"unspecified"
"46250"	"7F05400"	75	0	2	1	"biopsy of placenta nec"	"February 2009"	"late pregnancy"
"3365"	"L142.11"	3565	0	116	0	"premature delivery"	"February 2009"	"postnatal"
"23316"	"L140.11"	442	0	56	1	"false labour"	"February 2009"	"postnatal"
"86760"	"7F05z00"	1	0	0	0	"other operation on amniotic cavity nos"	"February 2009"	"late pregnancy"
"70891"	"L126400"	25	0	0	0	"eclampsia with postnatal complication"	"February 2009"	"postnatal"
"49478"	"L39X.00"	39	0	0	0	"obstetric death of unspecified cause"	"February 2009"	"unspecified"
"55917"	"L443000"	20	0	1	0	"other complication of obstetric surgical wound unspecified"	"February 2009"	"unspecified"
"43567"	"L313100"	15	0	0	0	"precipitate labour - delivered"	"February 2009"	"postnatal"
"115880"	"L401000"	1	0	0	0	"puerperal salpingitis unspecified"	"November 2021"	"postnatal"
"72779"	"L30z.00"	12	0	0	0	"obstructed labour nos"	"February 2009"	"postnatal"
"27914"	"62V..00"	960	0	15	0	"delivery place planned"	"February 2009"	"postnatal"
"59276"	"L032.00"	48	0	1	0	"ovarian pregnancy"	"February 2009"	"unspecified"
"46724"	"Q022200"	15	0	3	0	"fetus or neonate affected by placental insufficiency"	"February 2009"	"late pregnancy"
"65579"	"L415.00"	13	0	0	0	"other phlebitis and thrombosis in pregnancy and puerperium"	"February 2009"	"postnatal"
"93143"	"L121.00"	11	0	0	0	"renal hypertension in pregnancy/childbirth/puerperium"	"February 2009"	"postnatal"
"54866"	"L030.00"	113	0	1	0	"abdominal pregnancy"	"February 2009"	"unspecified"
"38882"	"L123600"	864	0	0	0	"transient hypertension of pregnancy"	"February 2009"	"unspecified"
"66219"	"Lyu6000"	11	0	0	0	"[x]other infection of genital tract following delivery"	"February 2009"	"postnatal"
"61204"	"L414z00"	58	0	0	0	"postnatal deep vein thrombosis nos"	"February 2009"	"postnatal"
"60154"	"L24..00"	15	0	0	0	"pelvic soft tissue abnormality in pregnancy/childbirth/puerp"	"February 2009"	"postnatal"
"61995"	"L03yz00"	30	0	1	0	"other ectopic pregnancy nos"	"February 2009"	"unspecified"
"67423"	"Z23AG00"	1	0	0	0	"hypertonic lower uterine segment during labour"	"February 2009"	"postnatal"
"115581"	"L383000"	1	0	0	0	"toxic reaction to local anaesthesia during pregnancy"	"May 2021"	"unspecified"
"105097"	"L250300"	2	0	0	0	"maternal care for suspected cns malformation in fetus"	"October 2012"	"unspecified"
"18458"	"Z29..00"	2056	0	7	0	"postnatal examination observations"	"February 2009"	"postnatal"
"100596"	"68b3.00"	6	0	0	0	"antenatal screening shows significant disorder"	"August 2010"	"early pregnancy"
"112115"	"L096500"	1	0	0	0	"pyaemic embolism following abortive pregnancy"	"September 2017"	"unspecified"
"72736"	"Z246200"	8	0	0	0	"onset of labour first stage"	"February 2009"	"postnatal"
"5044"	"13H7.00"	81523	0	15183	2	"unwanted pregnancy"	"February 2009"	"unspecified"
"71717"	"L121100"	2	0	0	0	"renal hypertension in pregnancy/childbirth/puerp - delivered"	"February 2009"	"postnatal"
"57304"	"Lyu6700"	3	0	1	0	"[x]other specified puerperal complications"	"February 2009"	"postnatal"
"34677"	"7F23000"	55	0	1	0	"immed repair obstetric laceration of uterus or cervix uteri"	"February 2009"	"unspecified"
"25131"	"Z22AD11"	638	0	15	0	"reported conception - pregnancy"	"February 2009"	"unspecified"
"21467"	"L03y200"	3	0	0	0	"membranous pregnancy"	"February 2009"	"unspecified"
"72931"	"L450100"	2	0	0	0	"obstetric nipple infection - delivered"	"February 2009"	"unspecified"
"52633"	"Q021111"	26	0	0	0	"fetus affected by placental abruption"	"February 2009"	"late pregnancy"
"111897"	"Z255B11"	1	0	0	0	"wants to push in labour"	"June 2017"	"postnatal"
