"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antihypertensives"
"82476"	1283	"Istin 5mg tablets (Dowelhurst Ltd)"	"Amlodipine"	"5mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"20431"	1362	"Centyl K modified-release tablets (LEO Pharma)"	"Bendroflumethiazide"	"2.5mg + 573mg"	"Modified-release tablet"	"Oral"	"Unknown"	"Bendroflumethiazide"
"65240"	133	"Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops (A A H Pharmaceuticals Ltd)"	"Timolol"	"5mg/1ml + 50microgram/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)/Prostaglandin Analogues (In Glaucoma)"	"Timolol"
"45179"	4027	"Minoxidil 5% foam"	"Minoxidil"	"50mg/1gram"	"Cutaneous foam"	"Cutaneous"	"Androgenetic Alopecia"	"Minoxidil"
"24218"	28	"Berkolol 160mg Tablet (Berk Pharmaceuticals Ltd)"	"Propranolol"	"160mg"	"Oral tablet"	"Oral"	"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"Propranolol"
"66430"	14564	"Amlodipine 5mg tablets (Kent Pharma (UK) Ltd)"	"Amlodipine"	"5mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"23492"	27	"CYCLOPENTHIAZIDE 250MCG/K 8.1MMOL"	"Cyclopenthiazide"	NA	NA	NA	"Unknown"	"Cyclopenthiazide"
"28721"	107	"Neofel XL 5mg tablets (Kent Pharma (UK) Ltd)"	"Felodipine"	"5mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Felodipine"
"31711"	482	"Verapamil 80mg tablets (A A H Pharmaceuticals Ltd)"	"Verapamil"	"80mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Verapamil"
"27957"	256	"Natramid 2.5mg Tablet (Trinity Pharmaceuticals Ltd)"	"Indapamide"	"2.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"29530"	26	"Innovace melt 2.5mg Wafer (Merck Sharp & Dohme Ltd)"	"Enalapril"	"2.5mg"	"Wafer"	NA	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"64447"	8	"Amlodipine 5mg tablets (Somex Pharma)"	"Amlodipine"	"5mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"76209"	0	"Candesartan 8mg tablets (Viatris UK Healthcare Ltd)"	"Candesartan"	"8mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"43525"	51	"Propranolol 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Propranolol"	"10mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"54726"	0	"Valsartan 40mg capsules (Teva UK Ltd)"	"Valsartan"	"40mg"	"Oral capsule"	"Oral"	"Unknown"	"Valsartan"
"7641"	343713	"Natrilix 2.5mg tablets (Servier Laboratories Ltd)"	"Indapamide"	"2.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"52088"	0	"Lisinopril 5mg tablets (Phoenix Healthcare Distribution Ltd)"	"Lisinopril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"51720"	612	"Spironolactone 25mg/5ml oral solution"	"Spironolactone"	"5mg/1ml"	"Oral solution"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"56473"	2863	"Perindopril erbumine 2mg tablets (Sigma Pharmaceuticals Plc)"	"Perindopril"	"2mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"8296"	4201	"Catapres PL Perlongets 250microgram capsules (Boehringer Ingelheim Ltd)"	"Clonidine"	"250microgram"	"Modified-release capsule"	"Oral"	"Unknown"	"Clonidine"
"11348"	43892	"Aprovel 300mg tablets (Sanofi)"	"Irbesartan"	"300mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Irbesartan"
"15052"	1630	"Spiroctan 50mg Tablet (Roche Products Ltd)"	"Spironolactone"	"50mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"78597"	2	"Diltiazem 5% cream (Special Order)"	"Diltiazem"	"50mg/1gram"	"Cream"	"Route of administration not applicable"	"Local Products For Anal Or Rectal Problems/Calcium-Channel Blockers"	"Diltiazem"
"29637"	7	"Verapress MR 240mg tablets (Teva UK Ltd)"	"Verapamil"	"240mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Verapamil"
"66817"	32	"Amlodipine 10mg tablets (Wockhardt UK Ltd)"	"Amlodipine"	"10mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"74012"	65	"Plendil 2.5mg modified-release tablets (Waymade Healthcare Plc)"	"Felodipine"	"2.5mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Felodipine"
"54515"	31	"Amlodipine 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Amlodipine"	"10mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"3049"	56926	"Methyldopa 125mg tablets"	"Methyldopa"	"125mg"	"Oral tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Methyldopa"
"67795"	0	"Lisinopril 20mg tablets (Almus Pharmaceuticals Ltd)"	"Lisinopril"	"20mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"45309"	7	"Acebutolol 400mg tablets (A A H Pharmaceuticals Ltd)"	"Acebutolol"	"400mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Acebutolol"
"40891"	46	"Doxazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Doxazosin"	"2mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Drugs For Genito-Urinary Disorders"	"Doxazosin"
"84133"	0	"Candesartan 8mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Candesartan"	"8mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"11641"	1529	"Captopril 25mg with Hydrochlorothiazide 12.5mg tablets"	"Captopril/Hydrochlorothiazide"	"25mg + 12.5mg"	"Tablets"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril/Hydrochlorothiazide"
"79406"	1	"Quinapril 10mg tablets (Actavis UK Ltd)"	"Quinapril"	"10mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Quinapril"
"80095"	1	"Chlorothiazide 40mg/5ml oral suspension"	"Chlorothiazide"	"8mg/1ml"	"Oral suspension"	"Oral"	"Thiazides And Related Diuretics"	"Chlorothiazide"
"71348"	217	"Frumil 40mg/5mg tablets (Waymade Healthcare Plc)"	"Amiloride"	"5mg + 40mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics With Other Diuretics"	"Amiloride"
"71760"	11	"Nifedipine 10mg modified-release tablets (Ethigen Ltd)"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"78737"	5	"Eprosartan 300mg/5ml oral solution"	"Eprosartan"	"60mg/1ml"	"Oral solution"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Eprosartan"
"88097"	147	"Delofine XL 5mg tablets (Morningside Healthcare Ltd)"	"Felodipine"	"5mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Felodipine"
"84153"	0	"Ramipril 1.25mg capsules (Medihealth (Northern) Ltd)"	"Ramipril"	"1.25mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"68759"	0	"Perindopril erbumine 2mg tablets (Milpharm Ltd)"	"Perindopril"	"2mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"72130"	10	"Clonidine 100micrograms/5ml oral suspension"	"Clonidine"	"20microgram/1ml"	"Oral suspension"	"Oral"	"Centrally Acting Antihypertensive Products/Prophylaxis Of Migraine/Oestrogens And HRT"	"Clonidine"
"66558"	0	"Lisinopril 5mg tablets (DE Pharmaceuticals)"	"Lisinopril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"54329"	3	"Metolazone 5mg/5ml oral suspension"	"Metolazone"	"1mg/1ml"	"Oral suspension"	"Oral"	"Thiazides And Related Diuretics"	"Metolazone"
"52559"	0	"Candesartan 8mg tablets (Zentiva Pharma UK Ltd)"	"Candesartan"	"8mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"18733"	680	"Co-amilozide 5mg with 50mg/ml oral solution"	"Hydrochlorothiazide/Amiloride"	"5mg + 50mg/5ml"	"Oral Solution"	"Oral"	"Thiazides And Related Diuretics/Potassium-Sparing Diuretics With Other Diuretics"	"Hydrochlorothiazide/Amiloride"
"41633"	189	"Captopril 12.5mg tablets (Actavis UK Ltd)"	"Captopril"	"12.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril"
"37184"	2113	"Valni XL 30mg tablets (Zentiva Pharma UK Ltd)"	"Nifedipine"	"30mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"47707"	2	"Nifedipine Oral solution"	"Nifedipine"	NA	"Oral Solution"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"33083"	2970	"Indapamide 2.5mg tablets (Teva UK Ltd)"	"Indapamide"	"2.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"28788"	2	"Half propatard la 80mg Modified-release capsule (Galen Ltd)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"Propranolol"
