"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"period"
"7530151000006116"	3	"^ESCTPU753015"	NA	"puerperal mastitis"	"700038005"	"2987704017"	32	"postnatal"
"7531001000006114"	1	"^ESCTBA753100"	NA	"bartter syndrome antenatal type 1"	"700107006"	"2989481015"	31	"early pregnancy"
"7546741000006116"	17	"^ESCTOB754674"	NA	"obstetrical/gynaecological ultrasound imaging system"	"701317001"	"2992787019"	31	"unspecified"
"7565461000006113"	5	"^ESCTME756546"	NA	"mental disorder in mother complicating pregnancy"	"702711004"	"3005875016"	31	"unspecified"
"7567351000006110"	839	"^ESCTDI756735"	NA	"diabetes in pregnancy clinic"	"702849009"	"3006330019"	31	"unspecified"
"7593831000006115"	1	"^ESCTDE759383"	NA	"depressed mood with postpartum onset"	"704678007"	"3014169010"	31	"postnatal"
"7593841000006113"	1	"^ESCTDE759384"	NA	"depressed mood in postpartum period"	"704678007"	"3013968012"	31	"postnatal"
"7612301000006118"	17	"^ESCTGE761230"	NA	"genital tract infection in puerperium"	"707089008"	"3028637012"	32	"postnatal"
"7613771000006119"	21	"^ESCTIN761377"	NA	"incomplete induced termination of pregnancy"	"707207004"	"3029036010"	32	"unspecified"
"7629681000006115"	8	"^ESCTOB762968"	NA	"obstetric ultrasound service"	"708173005"	"3034398010"	31	"unspecified"
"7642291000006111"	1	"^ESCTCE764229"	NA	"cervical cerclage of internal os during pregnancy"	"708967005"	"3037799013"	31	"unspecified"
"7650451000006118"	1	"^ESCTAS765045"	NA	"assessment of fetal gestational age"	"709479007"	"3040106015"	31	"unspecified"
"7681511000006115"	8	"^ESCTPR768151"	NA	"prevention of unwanted pregnancy"	"710973002"	"3046935016"	32	"unspecified"
"7693521000006111"	2	"^ESCTDE769352"	NA	"delivery by caesarean section for footling breech presentation"	"712653003"	"3083295015"	31	"postnatal"
"7693541000006116"	38	"^ESCTDE769354"	NA	"delivery by caesarean section for breech presentation"	"712654009"	"3083268013"	31	"postnatal"
"7693551000006119"	1	"^ESCTDE769355"	NA	"delivery by cesarean section for breech presentation"	"712654009"	"3083489018"	31	"postnatal"
"7696291000006117"	1	"^ESCTAN769629"	NA	"antenatal screening for viral hepatitis type b"	"712853001"	"3286112016"	31	"early pregnancy"
"7700771000006119"	1	"^ESCTOL770077"	NA	"oligohydramnios due to rupture of membranes"	"713192002"	"3288320016"	31	"late pregnancy"
"7706121000006118"	28	"^ESCTDI770612"	NA	"dizygotic twin pregnancy"	"713575004"	"3290185017"	32	"unspecified"
