"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidepressant"
"3180541000033117"	"Amitriptyline 10mg / Perphenazine 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"10.000mg + 2.000mg"	"04030100"	"Amitriptyline"
"3226641000033111"	"Duloxetine 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30.000mg"	"04030400"	"Duloxetine"
"3226741000033119"	"Duloxetine 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"60.000mg"	"04030400"	"Duloxetine"
"3226841000033112"	"Cymbalta 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30.000mg"	NA	"Duloxetine"
"3226941000033116"	"Cymbalta 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"60.000mg"	NA	"Duloxetine"
"3256741000033118"	"Mirtazapine 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Mirtazapine"	"15.000mg"	"04030400"	"Mirtazapine"
"3256841000033111"	"Mirtazapine 45mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Mirtazapine"	"45.000mg"	"04030400"	"Mirtazapine"
"3928841000033110"	"Escitalopram 10mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Escitalopram"	"10.000mg/1.000ml"	"04030300"	"Escitalopram"
"3928941000033119"	"Cipralex 10mg/ml oral drops"	"Oral drops"	"Oral"	"Escitalopram"	"10.000mg/1.000ml"	NA	"Escitalopram"
"4010441000033114"	"Sinepin 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"25.000mg"	NA	"Doxepin"
"4010541000033110"	"Sinepin 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"50.000mg"	NA	"Doxepin"
"4079041000033115"	"Paroxetine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Paroxetine"	"10.000mg"	"04030300"	"Paroxetine"
"4079141000033116"	"Seroxat 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Paroxetine"	"10.000mg"	NA	"Paroxetine"
"4148341000033116"	"Sertraline 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline"	"10.000mg/1.000ml"	"04030300"	"Sertraline"
"4431541000033115"	"Clomipramine 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clomipramine"	"10.000mg/1.000ml"	"04030100"	"Clomipramine"
"4498541000033116"	"Venlafaxine 37.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Venlafaxine"	"7.500mg/1.000ml"	"04030400"	"Venlafaxine"
"4498641000033115"	"Prozep 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine"	"4.000mg/1.000ml"	NA	"Fluoxetine"
"4655141000033113"	"HealthAid 5-HTP HydroxyTryptoPhan 50mg tablets"	"Modified-release tablet"	"Oral"	"Oxitriptan"	"50.000mg"	NA	"Oxitriptan"
"4817341000033115"	"Rodomel XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"4817441000033114"	"Rodomel XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4817641000033111"	"Tifaxin XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"4817741000033119"	"Tifaxin XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4823541000033110"	"Venlafaxine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"75.000mg"	"04030400"	"Venlafaxine"
"4823641000033111"	"Venlafaxine 150mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"150.000mg"	"04030400"	"Venlafaxine"
"4823741000033119"	"ViePax XL 75mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4823841000033112"	"ViePax XL 150mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"4824641000033113"	"Winfex XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"4896741000033115"	"Vexarin XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
