"medcode"	"term"	"database"
"7301761000006117"	"discussion about ideal body weight"	"Aurum"
"7309791000006112"	"dry body weight"	"Aurum"
"7309801000006113"	"dry weight"	"Aurum"
"7332961000006118"	"bmi (body mass index) centile"	"Aurum"
"7359841000006118"	"involuntary weight loss"	"Aurum"
"7403681000006114"	"patient-height measure"	"Aurum"
"7486891000006117"	"eating disorder examination questionnaire weight concern subscale score"	"Aurum"
"7493191000006115"	"educated about weight management"	"Aurum"
"7504441000006114"	"measurement of body mass index"	"Aurum"
"7508801000006119"	"patient advised about weight management"	"Aurum"
"7573871000006112"	"lymphoedema associated with obesity"	"Aurum"
"7597101000006110"	"self-induced vomiting to lose weight"	"Aurum"
"7685731000006119"	"pathology specimen submitted"	"Aurum"
"7732441000006111"	"percentage median body mass index for age and sex"	"Aurum"
"7758811000006114"	"obesity due to melanocortin 4 receptor deficiency"	"Aurum"
"7771291000006114"	"weight management programme"	"Aurum"
"7771301000006110"	"weight management program"	"Aurum"
"7833991000006118"	"overweight in adulthood with body mass index of 25 or more but less than 30"	"Aurum"
"7849241000006117"	"significantly low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type"	"Aurum"
"7879461000006116"	"weight"	"Aurum"
"7879471000006111"	"weight (property)"	"Aurum"
"7975751000006119"	"ran3 form submitted to family practitioner committee"	"Aurum"
"8024931000006112"	"severe obesity"	"Aurum"
"8224961000006113"	"dieting for weight loss"	"Aurum"
"8231711000006113"	"excepted from obesity quality indicators - patient unsuitable"	"Aurum"
"8231731000006119"	"excepted from obesity quality indicators - informed dissent"	"Aurum"
"8268241000006115"	"weight chart"	"Aurum"
"8270211000006112"	"anti-obesity drug therapy"	"Aurum"
"8278851000006114"	"referral to weight management gpwsi (general practitioner with special interest)"	"Aurum"
"8279981000006115"	"target bmi (body mass index)"	"Aurum"
"8286961000006110"	"baseline bmi (body mass index) centile"	"Aurum"
"8286991000006119"	"baseline bmi (body mass index)"	"Aurum"
"8291801000006113"	"maximum body mass index"	"Aurum"
"8291811000006111"	"maximum bmi (body mass index)"	"Aurum"
"8291821000006115"	"minimum body mass index"	"Aurum"
"8291831000006117"	"minimum bmi (body mass index)"	"Aurum"
"8334081000006112"	"down syndrome height centile"	"Aurum"
"8334111000006118"	"down syndrome weight centile"	"Aurum"
"8351481000006119"	"eating disorder examination questionnaire - adolescents, 14-16 years - weight concern subscale score"	"Aurum"
"8433591000006111"	"body height growth rate"	"Aurum"
"8435671000006113"	"dietetic intervention for adult obesity tom (therapy outcome measure) activity score"	"Aurum"
"8435931000006116"	"dietetic intervention for paediatric obesity tom (therapy outcome measure) wellbeing score"	"Aurum"
"8440771000006113"	"injury whilst weightlifting"	"Aurum"
"9423891000006114"	"slow weight gain"	"Aurum"
"11905011000006114"	"o/e - weight"	"Aurum"
"11905141000006112"	"o/e - height"	"Aurum"
"11923361000006119"	"finding of body mass index"	"Aurum"
"11929721000006110"	"expectation of weight management programme"	"Aurum"
"12008191000006116"	"obesity care"	"Aurum"
"12008201000006118"	"obesity treatment"	"Aurum"
"12113161000006113"	"obese class i"	"Aurum"
"12113181000006115"	"obese class ii"	"Aurum"
"12735281000006113"	"estimated fetal weight using antenatal ultrasound scan"	"Aurum"
"13638231000006115"	"self reported body weight"	"Aurum"
"13911231000006116"	"obesity in adolescence"	"Aurum"
"13911241000006114"	"adolescent obesity"	"Aurum"
"13923611000006117"	"weight gain"	"Aurum"
"13923631000006111"	"weight loss"	"Aurum"
"13926671000006119"	"obese class iii"	"Aurum"
"13926691000006118"	"obese class iii (body mass index equal to or greater than 40.0)"	"Aurum"
"13941701000006113"	"high body weight"	"Aurum"
"13967411000006118"	"target bmi for age z-score"	"Aurum"
"14166701000006113"	"weight loss process"	"Aurum"
"14167431000006113"	"target body weight"	"Aurum"
"14167441000006115"	"target weight"	"Aurum"
"14176391000006111"	"referral to weight management service"	"Aurum"
"14176401000006113"	"weight management service not available"	"Aurum"
"14193931000006111"	"onasemnogene abeparvovec 20 tera vector genomes/ml (patient weight 9.6-10.0kg) solution for infusion 1 x 5.5ml + 6 x 8.3ml vials"	"Aurum"
"14196651000006116"	"catheter submitted as specimen"	"Aurum"
"14357971000006115"	"duration of weight management programme"	"Aurum"
"14393821000006111"	"referred to adult's weight management service"	"Aurum"
"14393831000006114"	"referred to public health and lifestyle service (excluding weight management)"	"Aurum"
